css_name,color_name,hex,r,g,b
SkyBlue,sky blue,#87CEEB,135,206,235
SlateBlue,slate blue,#6A5ACD,106,90,205
SlateGray,slate gray,#708090,112,128,144
SlateGrey,slate grey,#708090,112,128,144
Snow,snow,#FFFAFA,255,250,250
SpringGreen,spring green,#00FF7F,0,255,127
SteelBlue,steel blue,#4682B4,70,130,180
Tan,tan,#D2B48C,210,180,140
Teal,teal,#008080,0,128,128
Thistle,thistle,#D8BFD8,216,191,216
Tomato,tomato,#FF6347,255,99,71
Turquoise,turquoise,#40E0D0,64,224,208
Violet,violet,#EE82EE,238,130,238
Wheat,wheat,#F5DEB3,245,222,179
White,white,#FFFFFF,255,255,255
WhiteSmoke,white smoke,#F5F5F5,245,245,245
Yellow,yellow,#FFFF00,255,255,0
YellowGreen,yellow green,#9ACD32,154,205,50
