Dataset_Category,Class_Name,Negative_Labels
ImageNet_Tools_Misc,saw,"steel blade.rust."
ImageNet_Tools_Misc,ruler,"digits.black line."
COCO_cloths_Accessories,lipstick,""
COCO_furniture_Household,towel,""
ImageNet_cloths_Accessories,socks,""
COCO_cloths_Accessories,wallet,"zipper."
COCO_furniture_Household,trash can,""
COCO_furniture_Household,curtain,""
COCO_furniture_Household,pillow,""
ImageNet_furniture_Household,thermos,""
COCO_furniture_Household,tissue box,"tissue.text.logo."
