id,color_count,object1,color1,object2,color2,object3,color3,prompt
18,3,surfboard,Deep purplish pink,kite,Deep purplish red,frisbee,White,"A Deep purplish pink surfboard, a Deep purplish red kite, and a White frisbee on the beach."
19,2,knife,Light gray,cutting board,Medium gray,,,A Light gray knife on a Medium gray cutting board in the kitchen.
20,2,umbrella,Dark gray,car,Black,,,A Dark gray umbrella leaning against a Black car.
21,2,remote,Light pink,computer mouse,Vivid red,,,A Light pink remote beside a Vivid red computer mouse on the desk.
22,3,remote,Light grayish red,computer mouse,Grayish red,fan,Vivid yellowish pink,"A Light grayish red remote, a Grayish red computer mouse, and a Vivid yellowish pink fan on the desk."
23,3,wardrobe,Grayish yellowish pink,bookcase,Vivid reddish orange,desk,Grayish reddish orange,A Grayish yellowish pink wardrobe beside a Vivid reddish orange bookcase and a Grayish reddish orange desk in the room.
24,3,broccoli,Deep reddish brown,orange,Light grayish reddish brown,apple,Deep orange,A Deep reddish brown broccoli beside a Light grayish reddish brown orange and a Deep orange apple on the counter.
25,2,backpack,Light orange,umbrella,Strong brown,,,A Light orange backpack leaning against a Strong brown umbrella by the door.
26,2,boat,Deep orange yellow,jeep,Grayish yellowish brown,,,A Deep orange yellow boat docked near a Grayish yellowish brown jeep at the marina.
27,2,socks,Vivid greenish yellow,towel,Light greenish yellow,,,A Vivid greenish yellow socks next to a Light greenish yellow towel on the dresser.
28,3,chair,Grayish greenish yellow,desk,Grayish olive,bookcase,Dark grayish olive,"A Grayish greenish yellow chair, a Grayish olive desk, and a Dark grayish olive bookcase in the office."
29,2,T-shirt,Light olive gray,jeans,Vivid yellow green,,,A Light olive gray T-shirt and Vivid yellow green jeans folded on the bed.
30,2,teddybear,Deep yellow green,balloon,Light yellow green,,,A Deep yellow green teddybear holding a Light yellow green balloon on the bed.
31,3,strawberry,Grayish yellow green,mango,Strong olive green,lemon,Deep yellowish green,"A Grayish yellow green strawberry, a Strong olive green mango, and a Deep yellowish green lemon on a plate."
32,2,surfboard,Vivid green,kite,Light green,,,A Vivid green surfboard leaning near a Light green kite on the beach.
33,2,sports ball,Grayish green,baseball glove,Vivid blue,,,A Grayish green sports ball next to a Vivid blue baseball glove on the bench.
34,3,hat,Deep blue,suitcase,Grayish blue,umbrella,Light bluish gray,"A Deep blue hat, a Grayish blue suitcase, and a Light bluish gray umbrella at the entrance."
35,2,microwave,Grayish violet,toaster,Vivid purple,,,A Grayish violet microwave next to a Vivid purple toaster on the counter.
36,3,backpack,Deep purple,umbrella,Light reddish purple,suitcase,Deep purplish pink,"A Deep purple backpack, a Light reddish purple umbrella, and a Deep purplish pink suitcase by the door."
37,2,dog,Deep purplish red,cat,White,,,A Deep purplish red dog sitting beside a White cat on the floor.
38,2,sweatshirt,Light gray,pants,Medium gray,,,A Light gray sweatshirt folded beside Medium gray pants on the shelf.
39,2,vase,Dark gray,clock,Black,,,A Dark gray vase next to a Black clock on the shelf.
40,2,owl,Light pink,cat,Vivid red,,,A Light pink owl perched above a Vivid red cat at night.
41,3,bicycle,Light grayish red,motorcycle,Grayish red,airplane,Vivid yellowish pink,"A Light grayish red bicycle, a Grayish red motorcycle, and a Vivid yellowish pink airplane at the airport."
42,3,cow,Grayish yellowish pink,sheep,Vivid reddish orange,elephant,Grayish reddish orange,"A Grayish yellowish pink cow, a Vivid reddish orange sheep, and a Grayish reddish orange elephant at the zoo."
43,2,fan,Deep reddish brown,sponge,Light grayish reddish brown,,,A Deep reddish brown fan beside a Light grayish reddish brown sponge on the shelf.
44,2,airplane,Deep orange,truck,Light orange,,,A Deep orange airplane flying above a Light orange truck on the runway.
45,2,handbag,Strong brown,suitcase,Deep orange yellow,,,A Strong brown handbag placed on a Deep orange yellow suitcase at the airport.
46,3,mug,Grayish yellowish brown,teapot,Vivid greenish yellow,candle,Light greenish yellow,"A Grayish yellowish brown mug, a Vivid greenish yellow teapot, and a Light greenish yellow candle on the dining table."
47,2,mango,Grayish greenish yellow,papaya,Grayish olive,,,A Grayish greenish yellow mango and a Grayish olive papaya in a fruit bowl.
48,2,turtle,Dark grayish olive,crocodile,Light olive gray,,,A Dark grayish olive turtle resting near a Light olive gray crocodile by the river.
49,2,wallet,Vivid yellow green,tie,Deep yellow green,,,A Vivid yellow green wallet beside a Deep yellow green tie on the table.
50,2,hammer,Light yellow green,wrench,Grayish yellow green,,,A Light yellow green hammer next to a Grayish yellow green wrench on the workbench.
51,2,table,Strong olive green,wardrobe,Deep yellowish green,,,A Strong olive green table beside a Deep yellowish green wardrobe in the bedroom.
52,3,T-shirt,Vivid green,jeans,Light green,socks,Grayish green,"A Vivid green T-shirt, Light green jeans, and Grayish green socks on the bed."
53,2,mug,Vivid blue,teapot,Deep blue,,,A Vivid blue mug beside a Deep blue teapot on the table.
54,2,car,Grayish blue,bus,Light bluish gray,,,A Grayish blue car parked near a Light bluish gray bus on the street.
55,2,bicycle,Grayish violet,motorcycle,Vivid purple,,,A Grayish violet bicycle next to a Vivid purple motorcycle in the garage.
56,3,banana,Deep purple,apple,Light reddish purple,orange,Deep purplish pink,"A Deep purple banana, a Light reddish purple apple, and a Deep purplish pink orange in a fruit bowl."
57,2,hair dryer,Deep purplish red,iron,White,,,A Deep purplish red hair dryer next to an White iron on the bathroom counter.
58,3,clock,Light gray,vase,Medium gray,book,Dark gray,"A Light gray clock, a Medium gray vase, and a Dark gray book on the shelf."
59,2,taxi,Black,bus,Light pink,,,A Black taxi and a Light pink bus at the station.
60,3,microwave,Vivid red,toaster,Light grayish red,refrigerator,Grayish red,"A Vivid red microwave, a Light grayish red toaster, and a Grayish red refrigerator in the kitchen."
61,2,couch,Vivid yellowish pink,bookcase,Grayish yellowish pink,,,A Vivid yellowish pink couch facing a Grayish yellowish pink bookcase in the living room.
62,3,pillow,Vivid reddish orange,curtain,Grayish reddish orange,clock,Deep reddish brown,"A Vivid reddish orange pillow on the bed, a Grayish reddish orange curtain by the window, and a Deep reddish brown clock on the wall."
63,2,football helmet,Light grayish reddish brown,boxing glove,Deep orange,,,A Light grayish reddish brown football helmet beside a Deep orange boxing glove on the shelf.
64,2,chair,Light orange,desk,Strong brown,,,A Light orange chair and a Strong brown desk in a sunlit room.
65,2,banana,Deep orange yellow,apple,Grayish yellowish brown,,,A Deep orange yellow banana and a Grayish yellowish brown apple on a wooden table.
66,3,backpack,Vivid greenish yellow,bicycle,Light greenish yellow,umbrella,Grayish greenish yellow,A Vivid greenish yellow backpack on a Light greenish yellow bicycle next to a Grayish greenish yellow umbrella.
67,2,book,Grayish olive,mug,Dark grayish olive,,,A Grayish olive book next to a Dark grayish olive mug on the coffee table.
68,3,hammer,Light olive gray,wrench,Vivid yellow green,saw,Deep yellow green,"A Light olive gray hammer, a Vivid yellow green wrench, and a Deep yellow green saw on the workbench."
69,2,ruler,Light yellow green,saw,Grayish yellow green,,,A Light yellow green ruler next to a Grayish yellow green saw on the workshop table.
70,2,candle,Strong olive green,book,Deep yellowish green,,,A Strong olive green candle next to a Deep yellowish green book on the nightstand.
71,3,handbag,Vivid green,wallet,Light green,hat,Grayish green,A Vivid green handbag with a Light green wallet and a Grayish green hat on the table.
72,3,car,Vivid blue,bus,Deep blue,truck,Grayish blue,A Vivid blue car parked near a Deep blue bus and a Grayish blue truck on the street.
73,2,potted plant,Light bluish gray,vase,Grayish violet,,,A Light bluish gray potted plant beside a Grayish violet vase on the windowsill.
74,2,sink,Vivid purple,trash can,Deep purple,,,A Vivid purple sink beside a Deep purple trash can in the kitchen.
75,3,skateboard,Light reddish purple,sports ball,Deep purplish pink,baseball bat,Deep purplish red,A Light reddish purple skateboard beside a Deep purplish pink sports ball and a Deep purplish red baseball bat.
76,3,book,White,mug,Light gray,candle,Medium gray,"A White book, a Light gray mug, and a Medium gray candle on the coffee table."
77,2,orange,Dark gray,guava,Black,,,A Dark gray orange beside a Black guava on the kitchen counter.
78,2,lipstick,Light pink,handbag,Vivid red,,,A Light pink lipstick inside a Vivid red handbag on the vanity.
79,3,tie,Light grayish red,hat,Grayish red,jacket,Vivid yellowish pink,"A Light grayish red tie, a Grayish red hat, and a Vivid yellowish pink jacket on the bed."
80,2,sports car,Grayish yellowish pink,truck,Vivid reddish orange,,,A Grayish yellowish pink sports car next to a Vivid reddish orange truck in the parking lot.
81,3,bear,Grayish reddish orange,turtle,Deep reddish brown,crocodile,Light grayish reddish brown,A Grayish reddish orange bear near a Deep reddish brown turtle and a Light grayish reddish brown crocodile by the river.
82,2,horse,Deep orange,cow,Light orange,,,A Deep orange horse standing with a Light orange cow in the field.
83,2,parrot,Strong brown,dog,Deep orange yellow,,,A Strong brown parrot perched near a Deep orange yellow dog in the yard.
84,2,thermos,Grayish yellowish brown,tissue box,Vivid greenish yellow,,,A Grayish yellowish brown thermos next to a Vivid greenish yellow tissue box on the desk.
85,2,jacket,Light greenish yellow,hat,Grayish greenish yellow,,,A Light greenish yellow jacket hanging beside a Grayish greenish yellow hat on the rack.
86,2,coat,Grayish olive,hat,Dark grayish olive,,,A Grayish olive coat hanging next to a Dark grayish olive hat on the hook.
87,2,strawberry,Light olive gray,lemon,Vivid yellow green,,,A Light olive gray strawberry next to a Vivid yellow green lemon on a plate.
88,2,elephant,Deep yellow green,bear,Light yellow green,,,A Deep yellow green elephant near a Light yellow green bear in the wild.
89,3,teddybear,Grayish yellow green,balloon,Strong olive green,football helmet,Deep yellowish green,A Grayish yellow green teddybear with a Strong olive green balloon next to a Deep yellowish green football helmet.
90,2,hat,Vivid green,suitcase,Light green,,,A Vivid green hat resting on a Light green suitcase.
91,2,minivan,Grayish green,bicycle,Vivid blue,,,A Grayish green minivan parked beside a Vivid blue bicycle in the driveway.
92,2,snowboard,Deep blue,skis,Grayish blue,,,A Deep blue snowboard resting against Grayish blue skis by the cabin.
93,2,carrot,Light bluish gray,broccoli,Grayish violet,,,A Light bluish gray carrot and a Grayish violet broccoli on a cutting board.
94,3,couch,Vivid purple,table,Deep purple,vase,Light reddish purple,A Vivid purple couch with a Deep purple table and a Light reddish purple vase in the living room.
95,3,boat,Deep purplish pink,jeep,Deep purplish red,airplane,White,"A Deep purplish pink boat, a Deep purplish red jeep, and a White airplane at the lakeside."
96,2,sheep,Light gray,horse,Medium gray,,,A Light gray sheep grazing next to a Medium gray horse in the meadow.
97,2,pillow,Dark gray,curtain,Black,,,A Dark gray pillow on the bed near a Black curtain by the window.
98,2,skateboard,Light pink,frisbee,Vivid red,,,A Light pink skateboard beside a Vivid red frisbee on the grass.
99,2,tie,Light grayish red,suit,Grayish red,,,A Light grayish red tie draped over a Grayish red suit in the closet.
100,2,baseball bat,Vivid yellowish pink,golf ball,Grayish yellowish pink,,,A Vivid yellowish pink baseball bat next to a Grayish yellowish pink golf ball on the floor.
101,2,refrigerator,Vivid reddish orange,oven,Grayish reddish orange,,,A Vivid reddish orange refrigerator beside a Grayish reddish orange oven in the kitchen.
102,3,dog,Deep reddish brown,cat,Light grayish reddish brown,horse,Deep orange,A Deep reddish brown dog next to a Light grayish reddish brown cat and a Deep orange horse in the yard.
103,2,duck,Light orange,cow,Strong brown,,,A Light orange duck swimming near a Strong brown cow by the pond.
104,2,clock,Deep orange yellow,candle,Grayish yellowish brown,,,A Deep orange yellow clock beside a Grayish yellowish brown candle on the mantle.
105,2,backpack,Vivid greenish yellow,bicycle,Light greenish yellow,,,A Vivid greenish yellow backpack hanging on a Light greenish yellow bicycle.
106,3,papaya,Grayish greenish yellow,guava,Grayish olive,carrot,Dark grayish olive,"A Grayish greenish yellow papaya, a Grayish olive guava, and a Dark grayish olive carrot on the table."
107,3,surfboard,Light olive gray,kite,Vivid yellow green,frisbee,Deep yellow green,"A Light olive gray surfboard, a Vivid yellow green kite, and a Deep yellow green frisbee on the beach."
108,2,knife,Light yellow green,cutting board,Grayish yellow green,,,A Light yellow green knife on a Grayish yellow green cutting board in the kitchen.
109,2,umbrella,Strong olive green,car,Deep yellowish green,,,A Strong olive green umbrella leaning against a Deep yellowish green car.
110,2,remote,Vivid green,computer mouse,Light green,,,A Vivid green remote beside a Light green computer mouse on the desk.
111,3,remote,Grayish green,computer mouse,Vivid blue,fan,Deep blue,"A Grayish green remote, a Vivid blue computer mouse, and a Deep blue fan on the desk."
112,3,wardrobe,Grayish blue,bookcase,Light bluish gray,desk,Grayish violet,A Grayish blue wardrobe beside a Light bluish gray bookcase and a Grayish violet desk in the room.
113,3,broccoli,Vivid purple,orange,Deep purple,apple,Light reddish purple,A Vivid purple broccoli beside a Deep purple orange and a Light reddish purple apple on the counter.
114,2,backpack,Deep purplish pink,umbrella,Deep purplish red,,,A Deep purplish pink backpack leaning against a Deep purplish red umbrella by the door.
115,2,boat,White,jeep,Light gray,,,A White boat docked near a Light gray jeep at the marina.
116,2,socks,Medium gray,towel,Dark gray,,,A Medium gray socks next to a Dark gray towel on the dresser.
117,3,chair,Black,desk,Light pink,bookcase,Vivid red,"A Black chair, a Light pink desk, and a Vivid red bookcase in the office."
118,2,T-shirt,Light grayish red,jeans,Grayish red,,,A Light grayish red T-shirt and Grayish red jeans folded on the bed.
119,2,teddybear,Vivid yellowish pink,balloon,Grayish yellowish pink,,,A Vivid yellowish pink teddybear holding a Grayish yellowish pink balloon on the bed.
120,3,strawberry,Vivid reddish orange,mango,Grayish reddish orange,lemon,Deep reddish brown,"A Vivid reddish orange strawberry, a Grayish reddish orange mango, and a Deep reddish brown lemon on a plate."
121,2,surfboard,Light grayish reddish brown,kite,Deep orange,,,A Light grayish reddish brown surfboard leaning near a Deep orange kite on the beach.
122,2,sports ball,Light orange,baseball glove,Strong brown,,,A Light orange sports ball next to a Strong brown baseball glove on the bench.
123,3,hat,Deep orange yellow,suitcase,Grayish yellowish brown,umbrella,Vivid greenish yellow,"A Deep orange yellow hat, a Grayish yellowish brown suitcase, and a Vivid greenish yellow umbrella at the entrance."
124,2,microwave,Light greenish yellow,toaster,Grayish greenish yellow,,,A Light greenish yellow microwave next to a Grayish greenish yellow toaster on the counter.
125,3,backpack,Grayish olive,umbrella,Dark grayish olive,suitcase,Light olive gray,"A Grayish olive backpack, a Dark grayish olive umbrella, and a Light olive gray suitcase by the door."
126,2,dog,Vivid yellow green,cat,Deep yellow green,,,A Vivid yellow green dog sitting beside a Deep yellow green cat on the floor.
127,2,sweatshirt,Light yellow green,pants,Grayish yellow green,,,A Light yellow green sweatshirt folded beside Grayish yellow green pants on the shelf.
128,2,vase,Strong olive green,clock,Deep yellowish green,,,A Strong olive green vase next to a Deep yellowish green clock on the shelf.
129,2,owl,Vivid green,cat,Light green,,,A Vivid green owl perched above a Light green cat at night.
130,3,bicycle,Grayish green,motorcycle,Vivid blue,airplane,Deep blue,"A Grayish green bicycle, a Vivid blue motorcycle, and a Deep blue airplane at the airport."
131,3,cow,Grayish blue,sheep,Light bluish gray,elephant,Grayish violet,"A Grayish blue cow, a Light bluish gray sheep, and a Grayish violet elephant at the zoo."
132,2,fan,Vivid purple,sponge,Deep purple,,,A Vivid purple fan beside a Deep purple sponge on the shelf.
133,2,airplane,Light reddish purple,truck,Deep purplish pink,,,A Light reddish purple airplane flying above a Deep purplish pink truck on the runway.
134,2,handbag,Deep purplish red,suitcase,White,,,A Deep purplish red handbag placed on a White suitcase at the airport.
135,3,mug,Light gray,teapot,Medium gray,candle,Dark gray,"A Light gray mug, a Medium gray teapot, and a Dark gray candle on the dining table."
136,2,mango,Black,papaya,Light pink,,,A Black mango and a Light pink papaya in a fruit bowl.
137,2,turtle,Vivid red,crocodile,Light grayish red,,,A Vivid red turtle resting near a Light grayish red crocodile by the river.
138,2,wallet,Grayish red,tie,Vivid yellowish pink,,,A Grayish red wallet beside a Vivid yellowish pink tie on the table.
139,2,hammer,Grayish yellowish pink,wrench,Vivid reddish orange,,,A Grayish yellowish pink hammer next to a Vivid reddish orange wrench on the workbench.
140,2,table,Grayish reddish orange,wardrobe,Deep reddish brown,,,A Grayish reddish orange table beside a Deep reddish brown wardrobe in the bedroom.
141,3,T-shirt,Light grayish reddish brown,jeans,Deep orange,socks,Light orange,"A Light grayish reddish brown T-shirt, Deep orange jeans, and Light orange socks on the bed."
142,2,mug,Strong brown,teapot,Deep orange yellow,,,A Strong brown mug beside a Deep orange yellow teapot on the table.
143,2,car,Grayish yellowish brown,bus,Vivid greenish yellow,,,A Grayish yellowish brown car parked near a Vivid greenish yellow bus on the street.
144,2,bicycle,Light greenish yellow,motorcycle,Grayish greenish yellow,,,A Light greenish yellow bicycle next to a Grayish greenish yellow motorcycle in the garage.
145,3,banana,Grayish olive,apple,Dark grayish olive,orange,Light olive gray,"A Grayish olive banana, a Dark grayish olive apple, and a Light olive gray orange in a fruit bowl."
146,2,hair dryer,Vivid yellow green,iron,Deep yellow green,,,A Vivid yellow green hair dryer next to an Deep yellow green iron on the bathroom counter.
147,3,clock,Light yellow green,vase,Grayish yellow green,book,Strong olive green,"A Light yellow green clock, a Grayish yellow green vase, and a Strong olive green book on the shelf."
148,2,taxi,Deep yellowish green,bus,Vivid green,,,A Deep yellowish green taxi and a Vivid green bus at the station.
149,3,microwave,Light green,toaster,Grayish green,refrigerator,Vivid blue,"A Light green microwave, a Grayish green toaster, and a Vivid blue refrigerator in the kitchen."
150,2,couch,Deep blue,bookcase,Grayish blue,,,A Deep blue couch facing a Grayish blue bookcase in the living room.
151,3,pillow,Light bluish gray,curtain,Grayish violet,clock,Vivid purple,"A Light bluish gray pillow on the bed, a Grayish violet curtain by the window, and a Vivid purple clock on the wall."
152,2,football helmet,Deep purple,boxing glove,Light reddish purple,,,A Deep purple football helmet beside a Light reddish purple boxing glove on the shelf.
153,2,chair,Deep purplish pink,desk,Deep purplish red,,,A Deep purplish pink chair and a Deep purplish red desk in a sunlit room.
154,2,banana,White,apple,Light gray,,,A White banana and a Light gray apple on a wooden table.
155,3,backpack,Medium gray,bicycle,Dark gray,umbrella,Black,A Medium gray backpack on a Dark gray bicycle next to a Black umbrella.
156,2,book,Light pink,mug,Vivid red,,,A Light pink book next to a Vivid red mug on the coffee table.
157,3,hammer,Light grayish red,wrench,Grayish red,saw,Vivid yellowish pink,"A Light grayish red hammer, a Grayish red wrench, and a Vivid yellowish pink saw on the workbench."
158,2,ruler,Grayish yellowish pink,saw,Vivid reddish orange,,,A Grayish yellowish pink ruler next to a Vivid reddish orange saw on the workshop table.
159,2,candle,Grayish reddish orange,book,Deep reddish brown,,,A Grayish reddish orange candle next to a Deep reddish brown book on the nightstand.
160,3,handbag,Light grayish reddish brown,wallet,Deep orange,hat,Light orange,A Light grayish reddish brown handbag with a Deep orange wallet and a Light orange hat on the table.
161,3,car,Strong brown,bus,Deep orange yellow,truck,Grayish yellowish brown,A Strong brown car parked near a Deep orange yellow bus and a Grayish yellowish brown truck on the street.
162,2,potted plant,Vivid greenish yellow,vase,Light greenish yellow,,,A Vivid greenish yellow potted plant beside a Light greenish yellow vase on the windowsill.
163,2,sink,Grayish greenish yellow,trash can,Grayish olive,,,A Grayish greenish yellow sink beside a Grayish olive trash can in the kitchen.
164,3,skateboard,Dark grayish olive,sports ball,Light olive gray,baseball bat,Vivid yellow green,A Dark grayish olive skateboard beside a Light olive gray sports ball and a Vivid yellow green baseball bat.
165,3,book,Deep yellow green,mug,Light yellow green,candle,Grayish yellow green,"A Deep yellow green book, a Light yellow green mug, and a Grayish yellow green candle on the coffee table."
166,2,orange,Strong olive green,guava,Deep yellowish green,,,A Strong olive green orange beside a Deep yellowish green guava on the kitchen counter.
167,2,lipstick,Vivid green,handbag,Light green,,,A Vivid green lipstick inside a Light green handbag on the vanity.
168,3,tie,Grayish green,hat,Vivid blue,jacket,Deep blue,"A Grayish green tie, a Vivid blue hat, and a Deep blue jacket on the bed."
169,2,sports car,Grayish blue,truck,Light bluish gray,,,A Grayish blue sports car next to a Light bluish gray truck in the parking lot.
170,3,bear,Grayish violet,turtle,Vivid purple,crocodile,Deep purple,A Grayish violet bear near a Vivid purple turtle and a Deep purple crocodile by the river.
171,2,horse,Light reddish purple,cow,Deep purplish pink,,,A Light reddish purple horse standing with a Deep purplish pink cow in the field.
172,2,parrot,Deep purplish red,dog,White,,,A Deep purplish red parrot perched near a White dog in the yard.
173,2,thermos,Light gray,tissue box,Medium gray,,,A Light gray thermos next to a Medium gray tissue box on the desk.
174,2,jacket,Dark gray,hat,Black,,,A Dark gray jacket hanging beside a Black hat on the rack.
175,2,coat,Light pink,hat,Vivid red,,,A Light pink coat hanging next to a Vivid red hat on the hook.
176,2,strawberry,Light grayish red,lemon,Grayish red,,,A Light grayish red strawberry next to a Grayish red lemon on a plate.
177,2,elephant,Vivid yellowish pink,bear,Grayish yellowish pink,,,A Vivid yellowish pink elephant near a Grayish yellowish pink bear in the wild.
178,3,teddybear,Vivid reddish orange,balloon,Grayish reddish orange,football helmet,Deep reddish brown,A Vivid reddish orange teddybear with a Grayish reddish orange balloon next to a Deep reddish brown football helmet.
179,2,hat,Light grayish reddish brown,suitcase,Deep orange,,,A Light grayish reddish brown hat resting on a Deep orange suitcase.
180,2,minivan,Light orange,bicycle,Strong brown,,,A Light orange minivan parked beside a Strong brown bicycle in the driveway.
181,2,snowboard,Deep orange yellow,skis,Grayish yellowish brown,,,A Deep orange yellow snowboard resting against Grayish yellowish brown skis by the cabin.
182,2,carrot,Vivid greenish yellow,broccoli,Light greenish yellow,,,A Vivid greenish yellow carrot and a Light greenish yellow broccoli on a cutting board.
183,3,couch,Grayish greenish yellow,table,Grayish olive,vase,Dark grayish olive,A Grayish greenish yellow couch with a Grayish olive table and a Dark grayish olive vase in the living room.
184,3,boat,Light olive gray,jeep,Vivid yellow green,airplane,Deep yellow green,"A Light olive gray boat, a Vivid yellow green jeep, and a Deep yellow green airplane at the lakeside."
185,2,sheep,Light yellow green,horse,Grayish yellow green,,,A Light yellow green sheep grazing next to a Grayish yellow green horse in the meadow.
186,2,pillow,Strong olive green,curtain,Deep yellowish green,,,A Strong olive green pillow on the bed near a Deep yellowish green curtain by the window.
187,2,skateboard,Vivid green,frisbee,Light green,,,A Vivid green skateboard beside a Light green frisbee on the grass.
188,2,tie,Grayish green,suit,Vivid blue,,,A Grayish green tie draped over a Vivid blue suit in the closet.
189,2,baseball bat,Deep blue,golf ball,Grayish blue,,,A Deep blue baseball bat next to a Grayish blue golf ball on the floor.
190,2,refrigerator,Light bluish gray,oven,Grayish violet,,,A Light bluish gray refrigerator beside a Grayish violet oven in the kitchen.
191,3,dog,Vivid purple,cat,Deep purple,horse,Light reddish purple,A Vivid purple dog next to a Deep purple cat and a Light reddish purple horse in the yard.
192,2,duck,Deep purplish pink,cow,Deep purplish red,,,A Deep purplish pink duck swimming near a Deep purplish red cow by the pond.
193,2,clock,White,candle,Light gray,,,A White clock beside a Light gray candle on the mantle.
194,2,backpack,Medium gray,bicycle,Dark gray,,,A Medium gray backpack hanging on a Dark gray bicycle.
195,3,papaya,Black,guava,Light pink,carrot,Vivid red,"A Black papaya, a Light pink guava, and a Vivid red carrot on the table."
196,3,surfboard,Light grayish red,kite,Grayish red,frisbee,Vivid yellowish pink,"A Light grayish red surfboard, a Grayish red kite, and a Vivid yellowish pink frisbee on the beach."
197,2,knife,Grayish yellowish pink,cutting board,Vivid reddish orange,,,A Grayish yellowish pink knife on a Vivid reddish orange cutting board in the kitchen.
198,2,umbrella,Grayish reddish orange,car,Deep reddish brown,,,A Grayish reddish orange umbrella leaning against a Deep reddish brown car.
199,2,remote,Light grayish reddish brown,computer mouse,Deep orange,,,A Light grayish reddish brown remote beside a Deep orange computer mouse on the desk.
200,3,remote,Light orange,computer mouse,Strong brown,fan,Deep orange yellow,"A Light orange remote, a Strong brown computer mouse, and a Deep orange yellow fan on the desk."
201,3,wardrobe,Grayish yellowish brown,bookcase,Vivid greenish yellow,desk,Light greenish yellow,A Grayish yellowish brown wardrobe beside a Vivid greenish yellow bookcase and a Light greenish yellow desk in the room.
202,3,broccoli,Grayish greenish yellow,orange,Grayish olive,apple,Dark grayish olive,A Grayish greenish yellow broccoli beside a Grayish olive orange and a Dark grayish olive apple on the counter.
203,2,backpack,Light olive gray,umbrella,Vivid yellow green,,,A Light olive gray backpack leaning against a Vivid yellow green umbrella by the door.
204,2,boat,Deep yellow green,jeep,Light yellow green,,,A Deep yellow green boat docked near a Light yellow green jeep at the marina.
205,2,socks,Grayish yellow green,towel,Strong olive green,,,A Grayish yellow green socks next to a Strong olive green towel on the dresser.
206,3,chair,Deep yellowish green,desk,Vivid green,bookcase,Light green,"A Deep yellowish green chair, a Vivid green desk, and a Light green bookcase in the office."
207,2,T-shirt,Grayish green,jeans,Vivid blue,,,A Grayish green T-shirt and Vivid blue jeans folded on the bed.
208,2,teddybear,Deep blue,balloon,Grayish blue,,,A Deep blue teddybear holding a Grayish blue balloon on the bed.
209,3,strawberry,Light bluish gray,mango,Grayish violet,lemon,Vivid purple,"A Light bluish gray strawberry, a Grayish violet mango, and a Vivid purple lemon on a plate."
210,2,surfboard,Deep purple,kite,Light reddish purple,,,A Deep purple surfboard leaning near a Light reddish purple kite on the beach.
211,2,sports ball,Deep purplish pink,baseball glove,Deep purplish red,,,A Deep purplish pink sports ball next to a Deep purplish red baseball glove on the bench.
212,3,hat,White,suitcase,Light gray,umbrella,Medium gray,"A White hat, a Light gray suitcase, and a Medium gray umbrella at the entrance."
213,2,microwave,Dark gray,toaster,Black,,,A Dark gray microwave next to a Black toaster on the counter.
214,3,backpack,Light pink,umbrella,Vivid red,suitcase,Light grayish red,"A Light pink backpack, a Vivid red umbrella, and a Light grayish red suitcase by the door."
