id,color,object,ref_object,prompt
135,medium blue,guava,strawberry,A medium blue guava rests next to a strawberry of identical color.
136,light slate gray,couch,bookcase,A light slate gray couch faces a bookcase of identical color.
137,light slate gray,sweatshirt,hat,A light slate gray sweatshirt is folded beside a hat of the same color.
138,light slate gray,jeep,bus,A light slate gray jeep is parked beside a bus of the same color.
139,light slate gray,dog,bear,A light slate gray dog sits beside a bear of matching color.
140,light slate gray,football helmet,snowboard,A light slate gray football helmet lies near a snowboard of the same color.
141,medium slate blue,snowboard,skis,A medium slate blue snowboard leans against skis of identical color.
142,medium slate blue,umbrella,suitcase,A medium slate blue umbrella leans against a suitcase of matching color.
143,medium slate blue,toaster,refrigerator,A medium slate blue toaster sits beside a refrigerator of the same color.
144,medium slate blue,tie,hat,A medium slate blue tie lies beside a hat of the same color.
145,medium slate blue,tissue box,book,A medium slate blue tissue box sits next to a book of matching color.
146,magenta,broccoli,carrot,A magenta broccoli rests next to a carrot of the same color.
147,magenta,teapot,candle,A magenta teapot sits beside a candle of identical color.
148,magenta,cow,sheep,A magenta cow grazes near a sheep of the same color.
149,magenta,frisbee,surfboard,A magenta frisbee rests beside a surfboard of the same color.
150,magenta,baseball bat,kite,A magenta baseball bat lies near a kite of the same color.
151,blue violet,mango,papaya,A blue violet mango is placed next to a papaya of the same color.
152,blue violet,handbag,umbrella,A blue violet handbag hangs near an umbrella of the same color.
153,blue violet,umbrella,backpack,A blue violet umbrella leans against a backpack of matching color.
154,blue violet,tie,handbag,A blue violet tie lies beside a handbag of the same color.
155,blue violet,tie,backpack,A blue violet tie rests on a backpack of matching color.
156,orchid,baseball glove,baseball bat,A orchid baseball glove lies beside a baseball bat of identical color.
157,orchid,bicycle,motorcycle,A orchid bicycle is parked beside a motorcycle of identical color.
158,orchid,microwave,toaster,A orchid microwave sits beside a toaster of the same color.
159,orchid,sports ball,baseball glove,A orchid sports ball sits next to a baseball glove of matching color.
160,orchid,tie,backpack,A orchid tie rests on a backpack of matching color.
161,purple,couch,bookcase,A purple couch faces a bookcase of identical color.
162,purple,carrot,orange,A purple carrot lies close to an orange of identical color.
163,purple,T-shirt,socks,A purple T-shirt is folded beside socks of identical color.
164,purple,microwave,toaster,A purple microwave sits beside a toaster of the same color.
165,purple,surfboard,skateboard,A purple surfboard leans against a skateboard of identical color.
166,dark orchid,orange,carrot,A dark orchid orange lies near a carrot of the same color.
167,dark orchid,guava,strawberry,A dark orchid guava rests next to a strawberry of identical color.
168,dark orchid,umbrella,suitcase,A dark orchid umbrella leans against a suitcase of matching color.
169,dark orchid,apple,orange,A dark orchid apple lies beside an orange of identical color.
170,dark orchid,jeep,bus,A dark orchid jeep is parked beside a bus of the same color.
171,sea shell,microwave,oven,A sea shell microwave sits next to an oven of matching color.
172,sea shell,jeep,bus,A sea shell jeep is parked beside a bus of the same color.
173,sea shell,lipstick,handbag,A sea shell lipstick rests inside a handbag of identical color.
174,sea shell,car,boat,A sea shell car is parked near a boat of identical color.
175,sea shell,dog,horse,A sea shell dog stands beside a horse with the same color coat.
176,honey dew,dog,horse,A honey dew dog stands beside a horse with the same color coat.
177,honey dew,desk,bookcase,A honey dew desk stands next to a bookcase of matching color.
178,honey dew,tie,suit,A honey dew tie is draped over a suit of matching color.
179,honey dew,snowboard,skis,A honey dew snowboard leans against skis of identical color.
180,honey dew,iron,hair dryer,A honey dew iron lies next to a hair dryer of the same color.
181,ghost white,parrot,cat,A ghost white parrot perches beside a cat of the same color.
182,ghost white,hat,backpack,A ghost white hat rests on a backpack of the same color.
183,ghost white,suitcase,backpack,A ghost white suitcase is placed next to a backpack of identical color.
184,ghost white,sports ball,baseball glove,A ghost white sports ball sits next to a baseball glove of matching color.
185,ghost white,trash can,sink,A ghost white trash can stands beside a sink of the same color.
186,floral white,umbrella,backpack,A floral white umbrella leans against a backpack of matching color.
187,floral white,car,truck,A floral white car is parked next to a truck of matching color.
188,floral white,baseball bat,kite,A floral white baseball bat lies near a kite of the same color.
189,floral white,clock,vase,A floral white clock hangs near a vase of the same color.
190,floral white,car,boat,A floral white car is parked near a boat of identical color.
191,dark gray,fan,sponge,A dark gray fan sits beside a sponge of matching color.
192,dark gray,skateboard,skis,A dark gray skateboard lies near skis of matching color.
193,dark gray,snowboard,skis,A dark gray snowboard leans against skis of identical color.
194,dark gray,jacket,hat,A dark gray jacket hangs beside a hat of matching color.
195,dark gray,orange,carrot,A dark gray orange lies near a carrot of the same color.
196,dim gray,owl,dog,A dim gray owl perches near a dog of matching color.
197,dim gray,baseball bat,kite,A dim gray baseball bat lies near a kite of the same color.
198,dim gray,football helmet,boxing glove,A dim gray football helmet lies next to a boxing glove of matching color.
199,dim gray,sink,towel,A dim gray sink has a towel of the same color nearby.
200,dim gray,suitcase,backpack,A dim gray suitcase is placed next to a backpack of identical color.
201,thistle,refrigerator,oven,A thistle refrigerator stands next to an oven of identical color.
202,thistle,chair,desk,A thistle chair is positioned next to a desk of the same color.
203,thistle,knife,cutting board,A thistle knife rests on a cutting board of matching color.
204,thistle,surfboard,skateboard,A thistle surfboard leans against a skateboard of identical color.
205,thistle,dog,bear,A thistle dog sits beside a bear of matching color.
206,black,lipstick,handbag,A black lipstick rests inside a handbag of identical color.
207,black,guava,strawberry,A black guava rests next to a strawberry of identical color.
208,black,sports car,airplane,A black sports car is parked beside an airplane of the same color.
209,black,umbrella,suitcase,A black umbrella leans against a suitcase of matching color.
210,black,tissue box,book,A black tissue box sits next to a book of matching color.
211,cornsilk,sports ball,baseball glove,A cornsilk sports ball sits next to a baseball glove of matching color.
212,cornsilk,dog,bear,A cornsilk dog sits beside a bear of matching color.
213,cornsilk,hammer,wrench,A cornsilk hammer lies beside a wrench of the same color.
214,cornsilk,backpack,suitcase,A cornsilk backpack is placed next to a suitcase of the same color.
215,cornsilk,wallet,tie,A cornsilk wallet rests beside a tie of the same color.
216,light blue,football helmet,snowboard,A light blue football helmet lies near a snowboard of the same color.
217,light blue,crocodile,bear,A light blue crocodile rests near a bear of identical color.
218,light blue,horse,sheep,A light blue horse stands with a sheep of the same color.
219,light blue,snowboard,skis,A light blue snowboard leans against skis of identical color.
220,light blue,guava,strawberry,A light blue guava rests next to a strawberry of identical color.
221,cyan,suitcase,umbrella,A cyan suitcase stands next to an umbrella of matching color.
222,cyan,car,boat,A cyan car is parked near a boat of identical color.
223,cyan,handbag,coat,A cyan handbag rests beside a coat of the same color.
224,cyan,chair,bookcase,A cyan chair is positioned near a bookcase of the same color.
225,cyan,frisbee,kite,A cyan frisbee lies near a kite of identical color.
