id,color,object,prompt
63,light yellow,snowboard,A photo of a light yellow snowboard.
64,light yellow,desk,A desk with a light yellow color.
65,light yellow,elephant,A single light yellow elephant.
66,light yellow,chair,A chair rendered in light yellow color.
67,light yellow,football helmet,The football helmet is light yellow.
68,light yellow,clock,A single light yellow clock.
69,light yellow,taxi,A single light yellow taxi.
70,light yellow,boxing glove,A boxing glove rendered in light yellow color.
71,light yellow,papaya,"A papaya, and it's light yellow."
72,light yellow,candle,A candle in a light yellow color.
73,light yellow,wardrobe,An image of a light yellow wardrobe.
74,light yellow,microwave,A microwave in a light yellow color.
75,light yellow,jeans,A light yellow jeans.
76,wheat,iron,A photo of a wheat iron.
77,wheat,clock,A wheat colored clock.
78,wheat,fan,A photo of a wheat fan.
79,wheat,parrot,A parrot in a wheat color.
80,wheat,baseball bat,A baseball bat in a wheat color.
81,wheat,minivan,A wheat minivan.
82,wheat,sponge,A sponge rendered in wheat color.
83,wheat,microwave,A wheat colored microwave.
84,wheat,wardrobe,"A wardrobe, and it's wheat."
85,wheat,bear,A wheat bear.
86,wheat,desk,The desk is wheat.
87,wheat,bicycle,A wheat colored bicycle.
88,wheat,skateboard,An image of a wheat skateboard.
89,wheat,crocodile,A crocodile that is entirely wheat.
90,wheat,cow,A wheat cow.
91,wheat,duck,A duck that is entirely wheat.
92,wheat,jeans,A jeans rendered in wheat color.
93,wheat,orange,The orange is wheat.
94,wheat,socks,The socks is wheat.
95,wheat,remote,A realistic remote in wheat.
96,wheat,elephant,"A elephant, and it's wheat."
97,wheat,papaya,The papaya is wheat.
98,wheat,candle,A candle in a wheat color.
99,wheat,oven,A photo of a wheat oven.
100,wheat,couch,A photo of a wheat couch.
101,sienna,ruler,A ruler in a sienna color.
102,sienna,candle,A candle that is entirely sienna.
103,sienna,jeans,A jeans rendered in sienna color.
104,sienna,bear,A bear that is entirely sienna.
105,sienna,skateboard,A sienna skateboard.
106,sienna,duck,The duck is sienna.
107,sienna,pants,A realistic pants in sienna.
108,sienna,wardrobe,A wardrobe with a sienna color.
109,sienna,suitcase,A sienna suitcase.
110,sienna,parrot,A parrot that is entirely sienna.
111,sienna,tie,The tie is sienna.
112,sienna,oven,A sienna oven.
113,sienna,guava,A sienna colored guava.
114,sienna,taxi,The taxi is sienna.
115,sienna,teapot,A teapot in a sienna color.
116,sienna,mug,A mug that is entirely sienna.
117,sienna,snowboard,An image of a sienna snowboard.
118,sienna,umbrella,A umbrella with a sienna color.
119,sienna,orange,"A orange, and it's sienna."
120,sienna,clock,A clock that is entirely sienna.
121,sienna,papaya,A papaya in a sienna color.
122,sienna,bus,A photo of a sienna bus.
123,sienna,fan,A realistic fan in sienna.
124,sienna,bicycle,A bicycle rendered in sienna color.
125,sienna,microwave,A microwave rendered in sienna color.
126,burly wood,candle,A photo of a burly wood candle.
127,burly wood,sports ball,A single burly wood sports ball.
128,burly wood,fan,A photo of a burly wood fan.
129,burly wood,papaya,An image of a burly wood papaya.
130,burly wood,tie,"A tie, and it's burly wood."
131,burly wood,couch,A couch that is entirely burly wood.
132,burly wood,boxing glove,The boxing glove is burly wood.
133,burly wood,wardrobe,"A wardrobe, and it's burly wood."
134,burly wood,sports car,A sports car in a burly wood color.
135,burly wood,pants,The pants is burly wood.
136,burly wood,ruler,A burly wood ruler.
137,burly wood,desk,A desk with a burly wood color.
138,burly wood,orange,A orange in a burly wood color.
139,burly wood,football helmet,A burly wood football helmet.
140,burly wood,duck,The duck is burly wood.
141,burly wood,snowboard,A snowboard that is entirely burly wood.
142,burly wood,taxi,A photo of a burly wood taxi.
143,burly wood,bear,A single burly wood bear.
144,burly wood,guava,"A guava, and it's burly wood."
145,burly wood,mug,"A mug, and it's burly wood."
146,burly wood,clock,A clock that is entirely burly wood.
147,burly wood,crocodile,A single burly wood crocodile.
148,burly wood,mango,A burly wood mango.
149,burly wood,baseball bat,A photo of a burly wood baseball bat.
150,burly wood,umbrella,A single burly wood umbrella.
151,papaya whip,bicycle,A photo of a papaya whip bicycle.
152,papaya whip,mango,The mango is papaya whip.
153,papaya whip,skateboard,A skateboard rendered in papaya whip color.
154,papaya whip,desk,The desk is papaya whip.
155,papaya whip,microwave,A microwave with a papaya whip color.
156,papaya whip,wardrobe,A wardrobe that is entirely papaya whip.
157,papaya whip,jeans,A single papaya whip jeans.
158,papaya whip,mug,The mug is papaya whip.
159,papaya whip,elephant,A elephant rendered in papaya whip color.
160,papaya whip,tie,A tie that is entirely papaya whip.
161,papaya whip,snowboard,A snowboard rendered in papaya whip color.
162,papaya whip,suitcase,A suitcase rendered in papaya whip color.
163,papaya whip,orange,A papaya whip orange.
164,papaya whip,duck,A duck rendered in papaya whip color.
165,papaya whip,remote,The remote is papaya whip.
166,papaya whip,vehicle,A single papaya whip vehicle.
167,papaya whip,candle,A candle with a papaya whip color.
168,papaya whip,football helmet,A football helmet rendered in papaya whip color.
169,papaya whip,sports ball,A sports ball rendered in papaya whip color.
170,papaya whip,iron,A iron in a papaya whip color.
171,papaya whip,papaya,A papaya whip colored papaya.
172,papaya whip,banana,An image of a papaya whip banana.
173,papaya whip,ruler,A ruler that is entirely papaya whip.
174,papaya whip,guava,A guava with a papaya whip color.
175,papaya whip,bus,A realistic bus in papaya whip.
176,brown,remote,A realistic remote in brown.
177,brown,sports ball,An image of a brown sports ball.
178,brown,skateboard,A skateboard rendered in brown color.
179,brown,guava,A guava with a brown color.
180,brown,chair,A chair in a brown color.
181,brown,oven,A brown oven.
182,brown,desk,A desk with a brown color.
183,brown,fan,A fan in a brown color.
184,brown,apple,An image of a brown apple.
185,brown,bicycle,A bicycle with a brown color.
186,brown,football helmet,The football helmet is brown.
187,brown,couch,A photo of a brown couch.
188,brown,socks,An image of a brown socks.
189,brown,suitcase,The suitcase is brown.
190,brown,iron,The iron is brown.
191,brown,duck,A realistic duck in brown.
192,brown,jeans,A jeans in a brown color.
193,brown,cow,A photo of a brown cow.
194,brown,bus,An image of a brown bus.
195,brown,clock,An image of a brown clock.
196,brown,teapot,A teapot rendered in brown color.
197,brown,elephant,A elephant that is entirely brown.
198,brown,banana,A realistic banana in brown.
199,brown,umbrella,A brown colored umbrella.
200,brown,baseball bat,A baseball bat that is entirely brown.
201,navajo white,iron,A realistic iron in navajo white.
202,navajo white,boxing glove,A photo of a navajo white boxing glove.
203,navajo white,skateboard,A skateboard in a navajo white color.
204,navajo white,crocodile,A navajo white crocodile.
205,navajo white,mug,A navajo white colored mug.
206,navajo white,fan,A fan rendered in navajo white color.
207,navajo white,orange,A orange in a navajo white color.
208,navajo white,banana,A photo of a navajo white banana.
209,navajo white,wardrobe,A single navajo white wardrobe.
210,navajo white,baseball bat,A photo of a navajo white baseball bat.
211,navajo white,bus,A navajo white bus.
212,navajo white,bicycle,An image of a navajo white bicycle.
213,navajo white,minivan,A navajo white colored minivan.
214,navajo white,chair,A navajo white chair.
215,navajo white,sponge,A navajo white colored sponge.
216,navajo white,pants,A pants that is entirely navajo white.
217,navajo white,taxi,A taxi with a navajo white color.
218,navajo white,umbrella,A umbrella that is entirely navajo white.
219,navajo white,sweatshirt,A sweatshirt with a navajo white color.
220,navajo white,sports car,The sports car is navajo white.
221,navajo white,suitcase,A navajo white colored suitcase.
222,navajo white,socks,A socks in a navajo white color.
223,navajo white,parrot,A single navajo white parrot.
224,navajo white,football helmet,A football helmet rendered in navajo white color.
225,navajo white,jeans,A realistic jeans in navajo white.
226,rosy brown,elephant,A rosy brown elephant.
227,rosy brown,sports ball,A sports ball with a rosy brown color.
228,rosy brown,bear,A bear that is entirely rosy brown.
229,rosy brown,cow,A single rosy brown cow.
230,rosy brown,papaya,A rosy brown colored papaya.
231,rosy brown,vehicle,An image of a rosy brown vehicle.
232,rosy brown,ruler,The ruler is rosy brown.
233,rosy brown,minivan,An image of a rosy brown minivan.
234,rosy brown,snowboard,A rosy brown colored snowboard.
235,rosy brown,sponge,A sponge with a rosy brown color.
236,rosy brown,baseball bat,A baseball bat in a rosy brown color.
237,rosy brown,iron,A single rosy brown iron.
238,rosy brown,couch,A couch with a rosy brown color.
239,rosy brown,mango,A mango in a rosy brown color.
240,rosy brown,bus,A rosy brown colored bus.
241,rosy brown,wardrobe,A rosy brown wardrobe.
242,rosy brown,sweatshirt,The sweatshirt is rosy brown.
243,rosy brown,clock,An image of a rosy brown clock.
244,rosy brown,duck,A photo of a rosy brown duck.
245,rosy brown,socks,A socks rendered in rosy brown color.
246,rosy brown,umbrella,An image of a rosy brown umbrella.
247,rosy brown,football helmet,A rosy brown football helmet.
248,rosy brown,fan,The fan is rosy brown.
249,rosy brown,teapot,A teapot rendered in rosy brown color.
250,rosy brown,sports car,A single rosy brown sports car.
251,orange,sports car,An image of a orange sports car.
252,orange,remote,A remote with a orange color.
253,orange,wardrobe,A single orange wardrobe.
254,orange,pants,A orange colored pants.
255,orange,crocodile,A single orange crocodile.
256,orange,clock,A realistic clock in orange.
257,orange,mango,An image of a orange mango.
258,orange,sweatshirt,A sweatshirt in a orange color.
259,orange,tie,A photo of a orange tie.
260,orange,skateboard,A skateboard that is entirely orange.
261,orange,bus,A single orange bus.
262,orange,iron,A iron with a orange color.
263,orange,bicycle,A single orange bicycle.
264,orange,socks,A socks with a orange color.
265,orange,taxi,A realistic taxi in orange.
266,orange,suitcase,A photo of a orange suitcase.
267,orange,jeans,A jeans rendered in orange color.
268,orange,minivan,A minivan rendered in orange color.
269,orange,bear,An image of a orange bear.
270,orange,oven,A single orange oven.
271,orange,parrot,A parrot in a orange color.
272,orange,teapot,A orange teapot.
273,orange,orange,An image of a orange orange.
274,orange,elephant,An image of a orange elephant.
275,orange,ruler,A ruler that is entirely orange.
276,dark golden rod,wardrobe,A dark golden rod wardrobe.
277,dark golden rod,socks,A socks that is entirely dark golden rod.
278,dark golden rod,pants,"A pants, and it's dark golden rod."
279,dark golden rod,snowboard,A snowboard rendered in dark golden rod color.
280,dark golden rod,remote,The remote is dark golden rod.
281,dark golden rod,desk,"A desk, and it's dark golden rod."
282,dark golden rod,teapot,A single dark golden rod teapot.
283,dark golden rod,football helmet,A football helmet with a dark golden rod color.
284,dark golden rod,suitcase,A suitcase rendered in dark golden rod color.
285,dark golden rod,crocodile,A crocodile that is entirely dark golden rod.
286,dark golden rod,candle,A realistic candle in dark golden rod.
287,dark golden rod,bear,A realistic bear in dark golden rod.
288,dark golden rod,banana,A single dark golden rod banana.
289,dark golden rod,microwave,"A microwave, and it's dark golden rod."
290,dark golden rod,minivan,A single dark golden rod minivan.
291,dark golden rod,bus,A bus that is entirely dark golden rod.
292,dark golden rod,papaya,A photo of a dark golden rod papaya.
293,dark golden rod,mango,A mango with a dark golden rod color.
294,dark golden rod,clock,A realistic clock in dark golden rod.
295,dark golden rod,mug,A dark golden rod mug.
296,dark golden rod,elephant,The elephant is dark golden rod.
297,dark golden rod,fan,A single dark golden rod fan.
298,dark golden rod,couch,A couch that is entirely dark golden rod.
299,dark golden rod,apple,A photo of a dark golden rod apple.
300,dark golden rod,bicycle,A realistic bicycle in dark golden rod.
301,orange red,duck,A duck with a orange red color.
302,orange red,desk,An image of a orange red desk.
303,orange red,orange,A orange in a orange red color.
304,orange red,jeans,"A jeans, and it's orange red."
305,orange red,sports ball,A sports ball with a orange red color.
306,orange red,clock,A clock that is entirely orange red.
307,orange red,sponge,An image of a orange red sponge.
308,orange red,chair,"A chair, and it's orange red."
309,orange red,football helmet,The football helmet is orange red.
310,orange red,fan,A realistic fan in orange red.
311,orange red,ruler,An image of a orange red ruler.
312,orange red,remote,A remote that is entirely orange red.
313,orange red,teapot,An image of a orange red teapot.
314,orange red,crocodile,A orange red colored crocodile.
315,orange red,wardrobe,A orange red colored wardrobe.
316,orange red,papaya,A papaya in a orange red color.
317,orange red,socks,The socks is orange red.
318,orange red,baseball bat,A photo of a orange red baseball bat.
319,orange red,umbrella,A photo of a orange red umbrella.
320,orange red,banana,A banana that is entirely orange red.
321,orange red,taxi,A single orange red taxi.
322,orange red,snowboard,A realistic snowboard in orange red.
323,orange red,mug,A photo of a orange red mug.
324,orange red,pants,A realistic pants in orange red.
325,orange red,boxing glove,A boxing glove that is entirely orange red.
326,khaki,apple,A apple that is entirely khaki.
327,khaki,papaya,"A papaya, and it's khaki."
328,khaki,sponge,A sponge that is entirely khaki.
329,khaki,minivan,An image of a khaki minivan.
330,khaki,parrot,A single khaki parrot.
331,khaki,desk,"A desk, and it's khaki."
332,khaki,iron,A khaki iron.
333,khaki,orange,A single khaki orange.
334,khaki,suitcase,A khaki colored suitcase.
335,khaki,football helmet,A football helmet with a khaki color.
336,khaki,mango,A mango with a khaki color.
337,khaki,vehicle,A single khaki vehicle.
338,khaki,jeans,A realistic jeans in khaki.
339,khaki,candle,A photo of a khaki candle.
340,khaki,bicycle,"A bicycle, and it's khaki."
341,khaki,crocodile,A photo of a khaki crocodile.
342,khaki,cow,A cow rendered in khaki color.
343,khaki,elephant,A elephant in a khaki color.
344,khaki,duck,A khaki duck.
345,khaki,tie,A single khaki tie.
346,khaki,socks,A socks rendered in khaki color.
347,khaki,baseball bat,A baseball bat rendered in khaki color.
348,khaki,taxi,A taxi with a khaki color.
349,khaki,wardrobe,A khaki wardrobe.
350,khaki,oven,The oven is khaki.
351,chartreuse,snowboard,A chartreuse colored snowboard.
352,chartreuse,wardrobe,A wardrobe that is entirely chartreuse.
353,chartreuse,chair,A chair with a chartreuse color.
354,chartreuse,desk,The desk is chartreuse.
355,chartreuse,cow,A cow with a chartreuse color.
356,chartreuse,orange,A chartreuse orange.
357,chartreuse,skateboard,A chartreuse skateboard.
358,chartreuse,mango,A mango that is entirely chartreuse.
359,chartreuse,remote,A remote that is entirely chartreuse.
360,chartreuse,suitcase,A chartreuse suitcase.
361,chartreuse,ruler,A ruler rendered in chartreuse color.
362,chartreuse,socks,A photo of a chartreuse socks.
363,chartreuse,minivan,A minivan that is entirely chartreuse.
364,chartreuse,pants,A photo of a chartreuse pants.
365,chartreuse,baseball bat,"A baseball bat, and it's chartreuse."
366,chartreuse,crocodile,A crocodile with a chartreuse color.
367,chartreuse,papaya,The papaya is chartreuse.
368,chartreuse,sweatshirt,A sweatshirt rendered in chartreuse color.
369,chartreuse,iron,A iron that is entirely chartreuse.
370,chartreuse,jeans,"A jeans, and it's chartreuse."
371,chartreuse,bus,A realistic bus in chartreuse.
372,chartreuse,sports ball,An image of a chartreuse sports ball.
373,chartreuse,bicycle,A chartreuse colored bicycle.
374,chartreuse,mug,A photo of a chartreuse mug.
375,chartreuse,vehicle,A vehicle rendered in chartreuse color.
376,yellow green,pants,A pants in a yellow green color.
377,yellow green,clock,A single yellow green clock.
378,yellow green,bear,A bear with a yellow green color.
379,yellow green,oven,A yellow green colored oven.
380,yellow green,couch,The couch is yellow green.
381,yellow green,socks,A socks in a yellow green color.
382,yellow green,vehicle,A vehicle with a yellow green color.
383,yellow green,ruler,A yellow green colored ruler.
384,yellow green,sweatshirt,A yellow green sweatshirt.
385,yellow green,mango,A single yellow green mango.
386,yellow green,guava,"A guava, and it's yellow green."
387,yellow green,tie,The tie is yellow green.
388,yellow green,apple,A single yellow green apple.
389,yellow green,sports ball,A yellow green colored sports ball.
390,yellow green,snowboard,A snowboard with a yellow green color.
391,yellow green,sports car,"A sports car, and it's yellow green."
392,yellow green,boxing glove,A realistic boxing glove in yellow green.
393,yellow green,elephant,A photo of a yellow green elephant.
394,yellow green,wardrobe,A single yellow green wardrobe.
395,yellow green,minivan,A photo of a yellow green minivan.
396,yellow green,fan,A realistic fan in yellow green.
397,yellow green,orange,A orange in a yellow green color.
398,yellow green,microwave,A microwave with a yellow green color.
399,yellow green,football helmet,An image of a yellow green football helmet.
400,yellow green,cow,A cow rendered in yellow green color.
401,dark sea green,parrot,An image of a dark sea green parrot.
402,dark sea green,candle,A candle rendered in dark sea green color.
403,dark sea green,desk,A realistic desk in dark sea green.
404,dark sea green,wardrobe,An image of a dark sea green wardrobe.
405,dark sea green,socks,A socks in a dark sea green color.
406,dark sea green,baseball bat,A dark sea green baseball bat.
407,dark sea green,remote,A remote in a dark sea green color.
408,dark sea green,sports ball,A sports ball that is entirely dark sea green.
409,dark sea green,banana,The banana is dark sea green.
410,dark sea green,boxing glove,A boxing glove that is entirely dark sea green.
411,dark sea green,teapot,A realistic teapot in dark sea green.
412,dark sea green,pants,A single dark sea green pants.
413,dark sea green,iron,"A iron, and it's dark sea green."
414,dark sea green,mango,A mango in a dark sea green color.
415,dark sea green,minivan,A minivan that is entirely dark sea green.
416,dark sea green,bicycle,A realistic bicycle in dark sea green.
417,dark sea green,fan,"A fan, and it's dark sea green."
418,dark sea green,ruler,A ruler with a dark sea green color.
419,dark sea green,bear,A realistic bear in dark sea green.
420,dark sea green,snowboard,"A snowboard, and it's dark sea green."
421,dark sea green,duck,"A duck, and it's dark sea green."
422,dark sea green,couch,A dark sea green couch.
423,dark sea green,cow,The cow is dark sea green.
424,dark sea green,chair,An image of a dark sea green chair.
425,dark sea green,jeans,A jeans that is entirely dark sea green.
426,pale green,guava,A guava that is entirely pale green.
427,pale green,sponge,A sponge that is entirely pale green.
428,pale green,sports ball,A realistic sports ball in pale green.
429,pale green,oven,"A oven, and it's pale green."
430,pale green,socks,An image of a pale green socks.
431,pale green,taxi,A realistic taxi in pale green.
432,pale green,candle,A candle rendered in pale green color.
433,pale green,jeans,A jeans in a pale green color.
434,pale green,duck,A duck rendered in pale green color.
435,pale green,sports car,An image of a pale green sports car.
436,pale green,wardrobe,The wardrobe is pale green.
437,pale green,minivan,A minivan that is entirely pale green.
438,pale green,sweatshirt,An image of a pale green sweatshirt.
439,pale green,desk,A desk that is entirely pale green.
440,pale green,baseball bat,A pale green colored baseball bat.
441,pale green,elephant,A photo of a pale green elephant.
442,pale green,chair,An image of a pale green chair.
443,pale green,clock,A pale green clock.
444,pale green,orange,A realistic orange in pale green.
445,pale green,boxing glove,A boxing glove in a pale green color.
446,pale green,couch,A photo of a pale green couch.
447,pale green,bear,An image of a pale green bear.
448,pale green,pants,A pale green pants.
449,pale green,mug,A pale green mug.
450,pale green,banana,A banana in a pale green color.
451,dark slate grey,microwave,A microwave with a dark slate grey color.
452,dark slate grey,sponge,A sponge with a dark slate grey color.
453,dark slate grey,chair,A dark slate grey chair.
454,dark slate grey,boxing glove,A photo of a dark slate grey boxing glove.
455,dark slate grey,mug,A photo of a dark slate grey mug.
456,dark slate grey,couch,A couch rendered in dark slate grey color.
457,dark slate grey,bicycle,An image of a dark slate grey bicycle.
458,dark slate grey,sweatshirt,The sweatshirt is dark slate grey.
459,dark slate grey,fan,A fan that is entirely dark slate grey.
460,dark slate grey,candle,The candle is dark slate grey.
461,dark slate grey,pants,A pants in a dark slate grey color.
462,dark slate grey,teapot,A single dark slate grey teapot.
463,dark slate grey,minivan,A minivan rendered in dark slate grey color.
464,dark slate grey,cow,A cow rendered in dark slate grey color.
465,dark slate grey,orange,A orange rendered in dark slate grey color.
466,dark slate grey,iron,A iron that is entirely dark slate grey.
467,dark slate grey,wardrobe,A wardrobe in a dark slate grey color.
468,dark slate grey,sports ball,A single dark slate grey sports ball.
469,dark slate grey,snowboard,"A snowboard, and it's dark slate grey."
470,dark slate grey,papaya,"A papaya, and it's dark slate grey."
471,dark slate grey,bus,An image of a dark slate grey bus.
472,dark slate grey,tie,A tie rendered in dark slate grey color.
473,dark slate grey,parrot,A single dark slate grey parrot.
474,dark slate grey,guava,An image of a dark slate grey guava.
475,dark slate grey,socks,A socks rendered in dark slate grey color.
476,medium sea green,football helmet,A realistic football helmet in medium sea green.
477,medium sea green,orange,"A orange, and it's medium sea green."
478,medium sea green,fan,The fan is medium sea green.
479,medium sea green,couch,A couch with a medium sea green color.
480,medium sea green,suitcase,A suitcase that is entirely medium sea green.
481,medium sea green,boxing glove,An image of a medium sea green boxing glove.
482,medium sea green,snowboard,A snowboard with a medium sea green color.
483,medium sea green,skateboard,A skateboard rendered in medium sea green color.
484,medium sea green,banana,A banana with a medium sea green color.
485,medium sea green,bear,A bear that is entirely medium sea green.
486,medium sea green,sports ball,A single medium sea green sports ball.
487,medium sea green,cow,The cow is medium sea green.
488,medium sea green,apple,A apple in a medium sea green color.
489,medium sea green,sweatshirt,A sweatshirt that is entirely medium sea green.
490,medium sea green,bicycle,A bicycle with a medium sea green color.
491,medium sea green,iron,A photo of a medium sea green iron.
492,medium sea green,umbrella,An image of a medium sea green umbrella.
493,medium sea green,sports car,A photo of a medium sea green sports car.
494,medium sea green,oven,The oven is medium sea green.
495,medium sea green,jeans,A medium sea green jeans.
496,medium sea green,elephant,A photo of a medium sea green elephant.
497,medium sea green,vehicle,An image of a medium sea green vehicle.
498,medium sea green,clock,A clock rendered in medium sea green color.
499,medium sea green,guava,A realistic guava in medium sea green.
500,medium sea green,teapot,A teapot rendered in medium sea green color.
501,pale turquoise,microwave,An image of a pale turquoise microwave.
502,pale turquoise,teapot,A teapot rendered in pale turquoise color.
503,pale turquoise,clock,A pale turquoise clock.
504,pale turquoise,desk,A photo of a pale turquoise desk.
505,pale turquoise,oven,"A oven, and it's pale turquoise."
506,pale turquoise,guava,A guava in a pale turquoise color.
507,pale turquoise,baseball bat,A baseball bat with a pale turquoise color.
508,pale turquoise,crocodile,"A crocodile, and it's pale turquoise."
509,pale turquoise,parrot,An image of a pale turquoise parrot.
510,pale turquoise,mug,A photo of a pale turquoise mug.
511,pale turquoise,sponge,A sponge rendered in pale turquoise color.
512,pale turquoise,banana,A single pale turquoise banana.
513,pale turquoise,bus,A bus with a pale turquoise color.
514,pale turquoise,wardrobe,"A wardrobe, and it's pale turquoise."
515,pale turquoise,remote,The remote is pale turquoise.
516,pale turquoise,snowboard,"A snowboard, and it's pale turquoise."
517,pale turquoise,chair,A pale turquoise colored chair.
518,pale turquoise,bicycle,A single pale turquoise bicycle.
519,pale turquoise,duck,A pale turquoise colored duck.
520,pale turquoise,iron,A pale turquoise colored iron.
521,pale turquoise,minivan,A minivan with a pale turquoise color.
522,pale turquoise,fan,The fan is pale turquoise.
523,pale turquoise,mango,A photo of a pale turquoise mango.
524,pale turquoise,jeans,A pale turquoise colored jeans.
525,pale turquoise,boxing glove,A single pale turquoise boxing glove.
526,aqua,sponge,"A sponge, and it's aqua."
527,aqua,mug,A mug with a aqua color.
528,aqua,microwave,"A microwave, and it's aqua."
529,aqua,ruler,A aqua ruler.
530,aqua,guava,A guava that is entirely aqua.
531,aqua,jeans,An image of a aqua jeans.
532,aqua,bus,A bus in a aqua color.
533,aqua,desk,A photo of a aqua desk.
534,aqua,banana,An image of a aqua banana.
535,aqua,remote,"A remote, and it's aqua."
536,aqua,skateboard,A realistic skateboard in aqua.
537,aqua,sweatshirt,"A sweatshirt, and it's aqua."
538,aqua,clock,The clock is aqua.
539,aqua,snowboard,A aqua snowboard.
540,aqua,bicycle,A bicycle with a aqua color.
541,aqua,minivan,A minivan rendered in aqua color.
542,aqua,wardrobe,A wardrobe that is entirely aqua.
543,aqua,baseball bat,A realistic baseball bat in aqua.
544,aqua,umbrella,A photo of a aqua umbrella.
545,aqua,suitcase,An image of a aqua suitcase.
546,aqua,vehicle,A vehicle in a aqua color.
547,aqua,couch,A aqua couch.
548,aqua,boxing glove,A boxing glove in a aqua color.
549,aqua,cow,A single aqua cow.
550,aqua,oven,The oven is aqua.
551,medium spring green,umbrella,A single medium spring green umbrella.
552,medium spring green,clock,A medium spring green colored clock.
553,medium spring green,desk,A desk in a medium spring green color.
554,medium spring green,sponge,An image of a medium spring green sponge.
555,medium spring green,snowboard,A medium spring green snowboard.
556,medium spring green,elephant,An image of a medium spring green elephant.
557,medium spring green,mug,A realistic mug in medium spring green.
558,medium spring green,microwave,An image of a medium spring green microwave.
559,medium spring green,crocodile,A crocodile rendered in medium spring green color.
560,medium spring green,baseball bat,A baseball bat rendered in medium spring green color.
561,medium spring green,papaya,A papaya with a medium spring green color.
562,medium spring green,candle,"A candle, and it's medium spring green."
563,medium spring green,parrot,A photo of a medium spring green parrot.
564,medium spring green,sports ball,"A sports ball, and it's medium spring green."
565,medium spring green,iron,A iron in a medium spring green color.
566,medium spring green,sweatshirt,"A sweatshirt, and it's medium spring green."
567,medium spring green,apple,A medium spring green colored apple.
568,medium spring green,tie,A medium spring green colored tie.
569,medium spring green,couch,A couch in a medium spring green color.
570,medium spring green,oven,A oven in a medium spring green color.
571,medium spring green,skateboard,A single medium spring green skateboard.
572,medium spring green,taxi,"A taxi, and it's medium spring green."
573,medium spring green,football helmet,A medium spring green colored football helmet.
574,medium spring green,bus,A bus that is entirely medium spring green.
575,medium spring green,chair,A realistic chair in medium spring green.
576,dark slate gray,sports ball,A single dark slate gray sports ball.
577,dark slate gray,sweatshirt,A sweatshirt with a dark slate gray color.
578,dark slate gray,mango,A photo of a dark slate gray mango.
579,dark slate gray,umbrella,The umbrella is dark slate gray.
580,dark slate gray,papaya,"A papaya, and it's dark slate gray."
581,dark slate gray,bus,An image of a dark slate gray bus.
582,dark slate gray,remote,A dark slate gray colored remote.
