id,color,object,prompt
43,Vivid red,taxi,A single Vivid red taxi.
44,Vivid red,bear,An image of a Vivid red bear.
45,Vivid red,duck,The duck is Vivid red.
46,Vivid red,cow,A cow that is entirely Vivid red.
47,Vivid red,socks,A socks rendered in Vivid red color.
48,Vivid red,minivan,A realistic minivan in Vivid red.
49,Vivid red,chair,A Vivid red colored chair.
50,Vivid red,sports car,A sports car that is entirely Vivid red.
51,Vivid red,teapot,A teapot with a Vivid red color.
52,Vivid red,remote,"A remote, and it's Vivid red."
53,Vivid red,iron,A single Vivid red iron.
54,Vivid red,oven,A oven with a Vivid red color.
55,Vivid red,sweatshirt,"A sweatshirt, and it's Vivid red."
56,Vivid red,football helmet,A photo of a Vivid red football helmet.
57,Vivid red,jeans,An image of a Vivid red jeans.
58,Vivid red,clock,A photo of a Vivid red clock.
59,Vivid red,guava,A guava that is entirely Vivid red.
60,Vivid red,pants,A realistic pants in Vivid red.
61,Light grayish red,jeans,A jeans with a Light grayish red color.
62,Light grayish red,parrot,A realistic parrot in Light grayish red.
63,Light grayish red,skateboard,The skateboard is Light grayish red.
64,Light grayish red,socks,A socks with a Light grayish red color.
65,Light grayish red,wardrobe,A wardrobe in a Light grayish red color.
66,Light grayish red,ruler,An image of a Light grayish red ruler.
67,Light grayish red,guava,A guava with a Light grayish red color.
68,Light grayish red,taxi,A Light grayish red colored taxi.
69,Light grayish red,umbrella,The umbrella is Light grayish red.
70,Light grayish red,chair,An image of a Light grayish red chair.
71,Light grayish red,crocodile,A single Light grayish red crocodile.
72,Light grayish red,mug,A photo of a Light grayish red mug.
73,Light grayish red,banana,"A banana, and it's Light grayish red."
74,Light grayish red,orange,A Light grayish red orange.
75,Light grayish red,clock,A realistic clock in Light grayish red.
76,Light grayish red,apple,A realistic apple in Light grayish red.
77,Light grayish red,remote,An image of a Light grayish red remote.
78,Light grayish red,duck,A duck in a Light grayish red color.
79,Light grayish red,football helmet,A photo of a Light grayish red football helmet.
80,Light grayish red,minivan,A minivan in a Light grayish red color.
81,Light grayish red,suitcase,The suitcase is Light grayish red.
82,Light grayish red,oven,A oven with a Light grayish red color.
83,Light grayish red,bus,An image of a Light grayish red bus.
84,Light grayish red,tie,A tie with a Light grayish red color.
85,Light grayish red,sports car,A sports car in a Light grayish red color.
86,Light grayish red,mango,A mango rendered in Light grayish red color.
87,Light grayish red,boxing glove,A boxing glove that is entirely Light grayish red.
88,Light grayish red,iron,A photo of a Light grayish red iron.
89,Light grayish red,sweatshirt,A Light grayish red colored sweatshirt.
90,Light grayish red,bicycle,A photo of a Light grayish red bicycle.
91,Grayish red,parrot,A parrot rendered in Grayish red color.
92,Grayish red,duck,A single Grayish red duck.
93,Grayish red,bicycle,A bicycle that is entirely Grayish red.
94,Grayish red,pants,A pants in a Grayish red color.
95,Grayish red,remote,A realistic remote in Grayish red.
96,Grayish red,mug,A realistic mug in Grayish red.
97,Grayish red,vehicle,A vehicle that is entirely Grayish red.
98,Grayish red,clock,A realistic clock in Grayish red.
99,Grayish red,taxi,An image of a Grayish red taxi.
100,Grayish red,oven,A single Grayish red oven.
101,Grayish red,sports ball,A sports ball with a Grayish red color.
102,Grayish red,orange,A orange with a Grayish red color.
103,Grayish red,jeans,A Grayish red colored jeans.
104,Grayish red,banana,"A banana, and it's Grayish red."
105,Grayish red,crocodile,A crocodile in a Grayish red color.
106,Grayish red,socks,"A socks, and it's Grayish red."
107,Grayish red,sponge,The sponge is Grayish red.
108,Grayish red,papaya,A papaya that is entirely Grayish red.
109,Grayish red,bus,A bus that is entirely Grayish red.
110,Grayish red,mango,The mango is Grayish red.
111,Grayish red,baseball bat,A Grayish red colored baseball bat.
112,Grayish red,teapot,A Grayish red teapot.
113,Grayish red,apple,A apple rendered in Grayish red color.
114,Grayish red,candle,A candle in a Grayish red color.
115,Grayish red,minivan,A minivan that is entirely Grayish red.
116,Grayish red,desk,A desk rendered in Grayish red color.
117,Grayish red,guava,A guava that is entirely Grayish red.
118,Grayish red,boxing glove,A Grayish red boxing glove.
119,Grayish red,chair,The chair is Grayish red.
120,Grayish red,skateboard,A realistic skateboard in Grayish red.
121,Vivid yellowish pink,boxing glove,A Vivid yellowish pink boxing glove.
122,Vivid yellowish pink,orange,A single Vivid yellowish pink orange.
123,Vivid yellowish pink,umbrella,A realistic umbrella in Vivid yellowish pink.
124,Vivid yellowish pink,apple,A Vivid yellowish pink colored apple.
125,Vivid yellowish pink,bus,The bus is Vivid yellowish pink.
126,Vivid yellowish pink,minivan,A minivan that is entirely Vivid yellowish pink.
127,Vivid yellowish pink,ruler,A ruler that is entirely Vivid yellowish pink.
128,Vivid yellowish pink,crocodile,A crocodile that is entirely Vivid yellowish pink.
129,Vivid yellowish pink,sports ball,A sports ball in a Vivid yellowish pink color.
130,Vivid yellowish pink,baseball bat,"A baseball bat, and it's Vivid yellowish pink."
131,Vivid yellowish pink,mug,A photo of a Vivid yellowish pink mug.
132,Vivid yellowish pink,suitcase,A single Vivid yellowish pink suitcase.
133,Vivid yellowish pink,chair,A photo of a Vivid yellowish pink chair.
134,Vivid yellowish pink,candle,An image of a Vivid yellowish pink candle.
135,Vivid yellowish pink,socks,"A socks, and it's Vivid yellowish pink."
136,Vivid yellowish pink,guava,A guava that is entirely Vivid yellowish pink.
137,Vivid yellowish pink,jeans,The jeans is Vivid yellowish pink.
138,Vivid yellowish pink,pants,"A pants, and it's Vivid yellowish pink."
139,Vivid yellowish pink,parrot,A parrot in a Vivid yellowish pink color.
140,Vivid yellowish pink,couch,The couch is Vivid yellowish pink.
141,Vivid yellowish pink,sponge,A Vivid yellowish pink sponge.
142,Vivid yellowish pink,teapot,A teapot with a Vivid yellowish pink color.
143,Vivid yellowish pink,fan,A fan in a Vivid yellowish pink color.
144,Vivid yellowish pink,wardrobe,A Vivid yellowish pink wardrobe.
145,Vivid yellowish pink,cow,The cow is Vivid yellowish pink.
146,Vivid yellowish pink,sports car,A sports car that is entirely Vivid yellowish pink.
147,Vivid yellowish pink,remote,A photo of a Vivid yellowish pink remote.
148,Vivid yellowish pink,iron,A single Vivid yellowish pink iron.
149,Vivid yellowish pink,vehicle,"A vehicle, and it's Vivid yellowish pink."
150,Vivid yellowish pink,mango,"A mango, and it's Vivid yellowish pink."
151,Grayish yellowish pink,suitcase,A Grayish yellowish pink suitcase.
152,Grayish yellowish pink,guava,A guava in a Grayish yellowish pink color.
153,Grayish yellowish pink,orange,The orange is Grayish yellowish pink.
154,Grayish yellowish pink,bear,A photo of a Grayish yellowish pink bear.
155,Grayish yellowish pink,mango,The mango is Grayish yellowish pink.
156,Grayish yellowish pink,bicycle,A bicycle rendered in Grayish yellowish pink color.
157,Grayish yellowish pink,snowboard,The snowboard is Grayish yellowish pink.
158,Grayish yellowish pink,skateboard,A skateboard with a Grayish yellowish pink color.
159,Grayish yellowish pink,desk,A desk that is entirely Grayish yellowish pink.
160,Grayish yellowish pink,microwave,A single Grayish yellowish pink microwave.
161,Grayish yellowish pink,wardrobe,The wardrobe is Grayish yellowish pink.
162,Grayish yellowish pink,mug,A mug rendered in Grayish yellowish pink color.
163,Grayish yellowish pink,elephant,A elephant that is entirely Grayish yellowish pink.
164,Grayish yellowish pink,tie,A tie rendered in Grayish yellowish pink color.
165,Grayish yellowish pink,sweatshirt,A sweatshirt rendered in Grayish yellowish pink color.
166,Grayish yellowish pink,couch,A Grayish yellowish pink couch.
167,Grayish yellowish pink,vehicle,A vehicle rendered in Grayish yellowish pink color.
168,Grayish yellowish pink,parrot,The parrot is Grayish yellowish pink.
169,Grayish yellowish pink,taxi,A single Grayish yellowish pink taxi.
170,Grayish yellowish pink,baseball bat,A baseball bat with a Grayish yellowish pink color.
171,Grayish yellowish pink,socks,A socks rendered in Grayish yellowish pink color.
172,Grayish yellowish pink,jeans,A jeans rendered in Grayish yellowish pink color.
173,Grayish yellowish pink,ruler,A ruler in a Grayish yellowish pink color.
174,Grayish yellowish pink,sponge,A Grayish yellowish pink colored sponge.
175,Grayish yellowish pink,sports car,An image of a Grayish yellowish pink sports car.
176,Grayish yellowish pink,teapot,A teapot that is entirely Grayish yellowish pink.
177,Grayish yellowish pink,sports ball,A sports ball with a Grayish yellowish pink color.
178,Grayish yellowish pink,pants,A realistic pants in Grayish yellowish pink.
179,Grayish yellowish pink,remote,A Grayish yellowish pink colored remote.
180,Grayish yellowish pink,banana,A banana that is entirely Grayish yellowish pink.
181,Vivid reddish orange,skateboard,A skateboard with a Vivid reddish orange color.
182,Vivid reddish orange,guava,The guava is Vivid reddish orange.
183,Vivid reddish orange,chair,A photo of a Vivid reddish orange chair.
184,Vivid reddish orange,ruler,An image of a Vivid reddish orange ruler.
185,Vivid reddish orange,snowboard,The snowboard is Vivid reddish orange.
186,Vivid reddish orange,oven,The oven is Vivid reddish orange.
187,Vivid reddish orange,desk,A realistic desk in Vivid reddish orange.
188,Vivid reddish orange,remote,A remote in a Vivid reddish orange color.
189,Vivid reddish orange,apple,A photo of a Vivid reddish orange apple.
190,Vivid reddish orange,bicycle,An image of a Vivid reddish orange bicycle.
191,Vivid reddish orange,football helmet,An image of a Vivid reddish orange football helmet.
192,Vivid reddish orange,couch,A couch rendered in Vivid reddish orange color.
193,Vivid reddish orange,socks,A socks that is entirely Vivid reddish orange.
194,Vivid reddish orange,suitcase,A realistic suitcase in Vivid reddish orange.
195,Vivid reddish orange,fan,A Vivid reddish orange colored fan.
196,Vivid reddish orange,duck,A duck that is entirely Vivid reddish orange.
197,Vivid reddish orange,jeans,A jeans with a Vivid reddish orange color.
198,Vivid reddish orange,cow,A cow with a Vivid reddish orange color.
199,Vivid reddish orange,bus,An image of a Vivid reddish orange bus.
200,Vivid reddish orange,clock,A clock in a Vivid reddish orange color.
201,Vivid reddish orange,teapot,"A teapot, and it's Vivid reddish orange."
202,Vivid reddish orange,elephant,An image of a Vivid reddish orange elephant.
203,Vivid reddish orange,banana,A Vivid reddish orange banana.
204,Vivid reddish orange,umbrella,The umbrella is Vivid reddish orange.
205,Vivid reddish orange,baseball bat,A baseball bat with a Vivid reddish orange color.
206,Vivid reddish orange,mango,A single Vivid reddish orange mango.
207,Vivid reddish orange,boxing glove,An image of a Vivid reddish orange boxing glove.
208,Vivid reddish orange,mug,A Vivid reddish orange mug.
209,Vivid reddish orange,sweatshirt,A Vivid reddish orange sweatshirt.
210,Vivid reddish orange,pants,A Vivid reddish orange colored pants.
211,Grayish reddish orange,chair,A chair rendered in Grayish reddish orange color.
212,Grayish reddish orange,boxing glove,A realistic boxing glove in Grayish reddish orange.
213,Grayish reddish orange,skateboard,A photo of a Grayish reddish orange skateboard.
214,Grayish reddish orange,bear,A bear that is entirely Grayish reddish orange.
215,Grayish reddish orange,teapot,A photo of a Grayish reddish orange teapot.
216,Grayish reddish orange,jeans,A photo of a Grayish reddish orange jeans.
217,Grayish reddish orange,wardrobe,A single Grayish reddish orange wardrobe.
218,Grayish reddish orange,sponge,A Grayish reddish orange sponge.
219,Grayish reddish orange,bicycle,A photo of a Grayish reddish orange bicycle.
220,Grayish reddish orange,clock,A realistic clock in Grayish reddish orange.
221,Grayish reddish orange,apple,A Grayish reddish orange colored apple.
222,Grayish reddish orange,elephant,A single Grayish reddish orange elephant.
223,Grayish reddish orange,bus,A bus with a Grayish reddish orange color.
224,Grayish reddish orange,taxi,A realistic taxi in Grayish reddish orange.
225,Grayish reddish orange,parrot,A parrot that is entirely Grayish reddish orange.
226,Grayish reddish orange,suitcase,An image of a Grayish reddish orange suitcase.
227,Grayish reddish orange,pants,A photo of a Grayish reddish orange pants.
228,Grayish reddish orange,vehicle,A realistic vehicle in Grayish reddish orange.
229,Grayish reddish orange,mug,The mug is Grayish reddish orange.
230,Grayish reddish orange,cow,A single Grayish reddish orange cow.
231,Grayish reddish orange,guava,A Grayish reddish orange guava.
232,Grayish reddish orange,snowboard,"A snowboard, and it's Grayish reddish orange."
233,Grayish reddish orange,papaya,A papaya that is entirely Grayish reddish orange.
234,Grayish reddish orange,couch,A couch that is entirely Grayish reddish orange.
235,Grayish reddish orange,minivan,"A minivan, and it's Grayish reddish orange."
236,Grayish reddish orange,sweatshirt,A Grayish reddish orange colored sweatshirt.
237,Grayish reddish orange,orange,An image of a Grayish reddish orange orange.
238,Grayish reddish orange,crocodile,A crocodile that is entirely Grayish reddish orange.
239,Grayish reddish orange,baseball bat,A baseball bat that is entirely Grayish reddish orange.
240,Grayish reddish orange,candle,A Grayish reddish orange candle.
241,Deep reddish brown,ruler,An image of a Deep reddish brown ruler.
242,Deep reddish brown,tie,A Deep reddish brown tie.
243,Deep reddish brown,guava,A realistic guava in Deep reddish brown.
244,Deep reddish brown,minivan,A single Deep reddish brown minivan.
245,Deep reddish brown,baseball bat,A Deep reddish brown baseball bat.
246,Deep reddish brown,apple,A apple in a Deep reddish brown color.
247,Deep reddish brown,snowboard,A snowboard in a Deep reddish brown color.
248,Deep reddish brown,sports car,A sports car with a Deep reddish brown color.
249,Deep reddish brown,crocodile,A realistic crocodile in Deep reddish brown.
250,Deep reddish brown,iron,A realistic iron in Deep reddish brown.
251,Deep reddish brown,parrot,A realistic parrot in Deep reddish brown.
252,Deep reddish brown,fan,A fan with a Deep reddish brown color.
253,Deep reddish brown,vehicle,A vehicle that is entirely Deep reddish brown.
254,Deep reddish brown,clock,A Deep reddish brown colored clock.
255,Deep reddish brown,skateboard,A single Deep reddish brown skateboard.
256,Deep reddish brown,banana,The banana is Deep reddish brown.
257,Deep reddish brown,microwave,A microwave with a Deep reddish brown color.
258,Deep reddish brown,chair,A Deep reddish brown colored chair.
259,Deep reddish brown,duck,A duck rendered in Deep reddish brown color.
260,Deep reddish brown,orange,A Deep reddish brown colored orange.
261,Deep reddish brown,oven,A oven with a Deep reddish brown color.
262,Deep reddish brown,suitcase,The suitcase is Deep reddish brown.
263,Deep reddish brown,cow,A realistic cow in Deep reddish brown.
264,Deep reddish brown,bear,An image of a Deep reddish brown bear.
265,Deep reddish brown,mango,A mango in a Deep reddish brown color.
266,Deep reddish brown,sweatshirt,An image of a Deep reddish brown sweatshirt.
267,Deep reddish brown,mug,A mug with a Deep reddish brown color.
268,Deep reddish brown,papaya,A single Deep reddish brown papaya.
269,Deep reddish brown,sponge,A Deep reddish brown colored sponge.
270,Deep reddish brown,couch,A single Deep reddish brown couch.
271,Light grayish reddish brown,sponge,An image of a Light grayish reddish brown sponge.
272,Light grayish reddish brown,microwave,A microwave in a Light grayish reddish brown color.
273,Light grayish reddish brown,jeans,A jeans with a Light grayish reddish brown color.
274,Light grayish reddish brown,chair,A chair with a Light grayish reddish brown color.
275,Light grayish reddish brown,tie,A tie rendered in Light grayish reddish brown color.
276,Light grayish reddish brown,papaya,A Light grayish reddish brown colored papaya.
277,Light grayish reddish brown,mango,The mango is Light grayish reddish brown.
278,Light grayish reddish brown,cow,A cow that is entirely Light grayish reddish brown.
279,Light grayish reddish brown,sweatshirt,A sweatshirt with a Light grayish reddish brown color.
280,Light grayish reddish brown,oven,An image of a Light grayish reddish brown oven.
281,Light grayish reddish brown,guava,A guava that is entirely Light grayish reddish brown.
282,Light grayish reddish brown,bicycle,A bicycle that is entirely Light grayish reddish brown.
283,Light grayish reddish brown,socks,A photo of a Light grayish reddish brown socks.
284,Light grayish reddish brown,fan,A Light grayish reddish brown fan.
285,Light grayish reddish brown,suitcase,A Light grayish reddish brown suitcase.
286,Light grayish reddish brown,mug,A mug that is entirely Light grayish reddish brown.
287,Light grayish reddish brown,iron,"A iron, and it's Light grayish reddish brown."
288,Light grayish reddish brown,crocodile,A crocodile rendered in Light grayish reddish brown color.
289,Light grayish reddish brown,duck,The duck is Light grayish reddish brown.
290,Light grayish reddish brown,remote,"A remote, and it's Light grayish reddish brown."
291,Light grayish reddish brown,bear,A single Light grayish reddish brown bear.
292,Light grayish reddish brown,umbrella,A umbrella with a Light grayish reddish brown color.
293,Light grayish reddish brown,football helmet,A football helmet rendered in Light grayish reddish brown color.
294,Light grayish reddish brown,taxi,A taxi that is entirely Light grayish reddish brown.
295,Light grayish reddish brown,minivan,A realistic minivan in Light grayish reddish brown.
296,Light grayish reddish brown,couch,A realistic couch in Light grayish reddish brown.
297,Light grayish reddish brown,skateboard,A single Light grayish reddish brown skateboard.
298,Light grayish reddish brown,sports ball,"A sports ball, and it's Light grayish reddish brown."
299,Light grayish reddish brown,banana,A single Light grayish reddish brown banana.
300,Light grayish reddish brown,bus,A bus that is entirely Light grayish reddish brown.
301,Deep orange,elephant,"A elephant, and it's Deep orange."
302,Deep orange,snowboard,An image of a Deep orange snowboard.
303,Deep orange,bicycle,A bicycle that is entirely Deep orange.
304,Deep orange,couch,A couch with a Deep orange color.
305,Deep orange,wardrobe,An image of a Deep orange wardrobe.
306,Deep orange,umbrella,A umbrella in a Deep orange color.
307,Deep orange,cow,"A cow, and it's Deep orange."
308,Deep orange,duck,A duck with a Deep orange color.
309,Deep orange,desk,A desk that is entirely Deep orange.
310,Deep orange,orange,An image of a Deep orange orange.
311,Deep orange,jeans,"A jeans, and it's Deep orange."
312,Deep orange,sports ball,The sports ball is Deep orange.
313,Deep orange,clock,A realistic clock in Deep orange.
314,Deep orange,socks,An image of a Deep orange socks.
315,Deep orange,chair,A chair that is entirely Deep orange.
316,Deep orange,guava,An image of a Deep orange guava.
317,Deep orange,boxing glove,A Deep orange colored boxing glove.
318,Deep orange,minivan,A Deep orange colored minivan.
319,Deep orange,skateboard,A skateboard in a Deep orange color.
320,Deep orange,baseball bat,The baseball bat is Deep orange.
321,Deep orange,oven,A photo of a Deep orange oven.
322,Deep orange,bear,A photo of a Deep orange bear.
323,Deep orange,crocodile,A crocodile that is entirely Deep orange.
324,Deep orange,candle,A single Deep orange candle.
325,Deep orange,sponge,A realistic sponge in Deep orange.
326,Deep orange,suitcase,A photo of a Deep orange suitcase.
327,Deep orange,papaya,A realistic papaya in Deep orange.
328,Deep orange,taxi,A taxi that is entirely Deep orange.
329,Deep orange,banana,The banana is Deep orange.
330,Deep orange,parrot,A single Deep orange parrot.
331,Light orange,papaya,"A papaya, and it's Light orange."
332,Light orange,minivan,A Light orange minivan.
333,Light orange,parrot,A single Light orange parrot.
334,Light orange,desk,A Light orange colored desk.
335,Light orange,fan,A fan with a Light orange color.
336,Light orange,orange,A orange with a Light orange color.
337,Light orange,suitcase,A single Light orange suitcase.
338,Light orange,snowboard,A realistic snowboard in Light orange.
339,Light orange,mango,A photo of a Light orange mango.
340,Light orange,vehicle,"A vehicle, and it's Light orange."
341,Light orange,socks,A photo of a Light orange socks.
342,Light orange,candle,A candle rendered in Light orange color.
343,Light orange,bicycle,A bicycle in a Light orange color.
344,Light orange,sports car,A Light orange sports car.
345,Light orange,oven,A single Light orange oven.
346,Light orange,jeans,A jeans rendered in Light orange color.
347,Light orange,tie,A tie rendered in Light orange color.
348,Light orange,wardrobe,A wardrobe with a Light orange color.
349,Light orange,pants,A Light orange pants.
350,Light orange,football helmet,The football helmet is Light orange.
351,Light orange,baseball bat,A baseball bat with a Light orange color.
352,Light orange,taxi,A single Light orange taxi.
353,Light orange,iron,A photo of a Light orange iron.
354,Light orange,guava,"A guava, and it's Light orange."
355,Light orange,mug,A photo of a Light orange mug.
356,Light orange,clock,A Light orange clock.
357,Light orange,sports ball,An image of a Light orange sports ball.
358,Light orange,remote,A single Light orange remote.
359,Light orange,chair,A Light orange colored chair.
360,Light orange,teapot,A teapot that is entirely Light orange.
361,Strong brown,desk,"A desk, and it's Strong brown."
362,Strong brown,remote,A realistic remote in Strong brown.
363,Strong brown,minivan,An image of a Strong brown minivan.
364,Strong brown,mango,A Strong brown colored mango.
365,Strong brown,baseball bat,A photo of a Strong brown baseball bat.
366,Strong brown,papaya,A papaya rendered in Strong brown color.
367,Strong brown,skateboard,A skateboard rendered in Strong brown color.
368,Strong brown,banana,A realistic banana in Strong brown.
369,Strong brown,candle,A realistic candle in Strong brown.
370,Strong brown,vehicle,The vehicle is Strong brown.
371,Strong brown,parrot,A photo of a Strong brown parrot.
372,Strong brown,orange,An image of a Strong brown orange.
373,Strong brown,sports car,The sports car is Strong brown.
374,Strong brown,umbrella,A umbrella rendered in Strong brown color.
375,Strong brown,apple,A Strong brown apple.
376,Strong brown,ruler,An image of a Strong brown ruler.
377,Strong brown,sponge,A sponge rendered in Strong brown color.
378,Strong brown,sweatshirt,A sweatshirt with a Strong brown color.
379,Strong brown,socks,A single Strong brown socks.
380,Strong brown,bicycle,A single Strong brown bicycle.
381,Strong brown,clock,A realistic clock in Strong brown.
382,Strong brown,couch,A couch that is entirely Strong brown.
383,Strong brown,boxing glove,The boxing glove is Strong brown.
384,Strong brown,oven,A oven rendered in Strong brown color.
385,Strong brown,mug,A realistic mug in Strong brown.
386,Strong brown,guava,A guava with a Strong brown color.
387,Strong brown,iron,A iron that is entirely Strong brown.
388,Strong brown,sports ball,The sports ball is Strong brown.
389,Strong brown,jeans,A realistic jeans in Strong brown.
390,Strong brown,wardrobe,An image of a Strong brown wardrobe.
391,Deep orange yellow,iron,A single Deep orange yellow iron.
392,Deep orange yellow,pants,A realistic pants in Deep orange yellow.
393,Deep orange yellow,clock,A clock rendered in Deep orange yellow color.
394,Deep orange yellow,sweatshirt,An image of a Deep orange yellow sweatshirt.
395,Deep orange yellow,bus,A Deep orange yellow colored bus.
396,Deep orange yellow,sports car,A sports car that is entirely Deep orange yellow.
397,Deep orange yellow,parrot,The parrot is Deep orange yellow.
398,Deep orange yellow,wardrobe,An image of a Deep orange yellow wardrobe.
399,Deep orange yellow,taxi,"A taxi, and it's Deep orange yellow."
400,Deep orange yellow,apple,A apple that is entirely Deep orange yellow.
401,Deep orange yellow,crocodile,"A crocodile, and it's Deep orange yellow."
402,Deep orange yellow,minivan,A minivan rendered in Deep orange yellow color.
403,Deep orange yellow,bicycle,A bicycle rendered in Deep orange yellow color.
404,Deep orange yellow,papaya,A papaya with a Deep orange yellow color.
405,Deep orange yellow,mug,A single Deep orange yellow mug.
406,Deep orange yellow,orange,A Deep orange yellow colored orange.
407,Deep orange yellow,suitcase,A Deep orange yellow suitcase.
408,Deep orange yellow,cow,"A cow, and it's Deep orange yellow."
409,Deep orange yellow,remote,A Deep orange yellow colored remote.
410,Deep orange yellow,jeans,A photo of a Deep orange yellow jeans.
411,Deep orange yellow,umbrella,"A umbrella, and it's Deep orange yellow."
412,Deep orange yellow,boxing glove,A boxing glove that is entirely Deep orange yellow.
413,Deep orange yellow,ruler,A Deep orange yellow colored ruler.
414,Deep orange yellow,desk,An image of a Deep orange yellow desk.
415,Deep orange yellow,banana,A Deep orange yellow colored banana.
416,Deep orange yellow,skateboard,An image of a Deep orange yellow skateboard.
417,Deep orange yellow,chair,A chair rendered in Deep orange yellow color.
418,Deep orange yellow,baseball bat,A realistic baseball bat in Deep orange yellow.
419,Deep orange yellow,sports ball,An image of a Deep orange yellow sports ball.
420,Deep orange yellow,guava,A guava in a Deep orange yellow color.
421,Grayish yellowish brown,bicycle,A Grayish yellowish brown colored bicycle.
422,Grayish yellowish brown,duck,A realistic duck in Grayish yellowish brown.
423,Grayish yellowish brown,tie,"A tie, and it's Grayish yellowish brown."
424,Grayish yellowish brown,banana,An image of a Grayish yellowish brown banana.
425,Grayish yellowish brown,sports ball,An image of a Grayish yellowish brown sports ball.
426,Grayish yellowish brown,papaya,An image of a Grayish yellowish brown papaya.
427,Grayish yellowish brown,mug,A mug that is entirely Grayish yellowish brown.
428,Grayish yellowish brown,jeans,The jeans is Grayish yellowish brown.
429,Grayish yellowish brown,snowboard,A realistic snowboard in Grayish yellowish brown.
430,Grayish yellowish brown,candle,A candle that is entirely Grayish yellowish brown.
431,Grayish yellowish brown,football helmet,A Grayish yellowish brown colored football helmet.
432,Grayish yellowish brown,teapot,The teapot is Grayish yellowish brown.
433,Grayish yellowish brown,vehicle,A realistic vehicle in Grayish yellowish brown.
434,Grayish yellowish brown,ruler,A ruler in a Grayish yellowish brown color.
435,Grayish yellowish brown,microwave,A realistic microwave in Grayish yellowish brown.
436,Grayish yellowish brown,clock,A photo of a Grayish yellowish brown clock.
437,Grayish yellowish brown,iron,A iron that is entirely Grayish yellowish brown.
438,Grayish yellowish brown,sports car,A sports car that is entirely Grayish yellowish brown.
439,Grayish yellowish brown,sweatshirt,A realistic sweatshirt in Grayish yellowish brown.
440,Grayish yellowish brown,elephant,"A elephant, and it's Grayish yellowish brown."
441,Grayish yellowish brown,minivan,An image of a Grayish yellowish brown minivan.
442,Grayish yellowish brown,pants,A realistic pants in Grayish yellowish brown.
443,Grayish yellowish brown,cow,A cow rendered in Grayish yellowish brown color.
444,Grayish yellowish brown,socks,A socks in a Grayish yellowish brown color.
445,Grayish yellowish brown,baseball bat,A baseball bat rendered in Grayish yellowish brown color.
446,Grayish yellowish brown,skateboard,An image of a Grayish yellowish brown skateboard.
447,Grayish yellowish brown,taxi,The taxi is Grayish yellowish brown.
448,Grayish yellowish brown,suitcase,A suitcase that is entirely Grayish yellowish brown.
449,Grayish yellowish brown,guava,An image of a Grayish yellowish brown guava.
450,Grayish yellowish brown,bear,A bear that is entirely Grayish yellowish brown.
451,Vivid greenish yellow,taxi,A taxi rendered in Vivid greenish yellow color.
452,Vivid greenish yellow,cow,A cow with a Vivid greenish yellow color.
453,Vivid greenish yellow,oven,A oven with a Vivid greenish yellow color.
454,Vivid greenish yellow,bicycle,A Vivid greenish yellow bicycle.
455,Vivid greenish yellow,parrot,A photo of a Vivid greenish yellow parrot.
456,Vivid greenish yellow,chair,A photo of a Vivid greenish yellow chair.
457,Vivid greenish yellow,baseball bat,A baseball bat rendered in Vivid greenish yellow color.
458,Vivid greenish yellow,bus,An image of a Vivid greenish yellow bus.
459,Vivid greenish yellow,orange,The orange is Vivid greenish yellow.
