id,color_name,r,g,b,object,prompt
61,Vivid yellowish pink,253,126,93,clock,"An image of a clock in rgb(253, 126, 93)."
62,Vivid yellowish pink,253,126,93,microwave,"A microwave rendered in RGB color rgb(253, 126, 93)."
63,Vivid yellowish pink,253,126,93,wardrobe,"A wardrobe in rgb(253, 126, 93)."
64,Vivid yellowish pink,253,126,93,bear,"An image of a bear in rgb(253, 126, 93)."
65,Vivid yellowish pink,253,126,93,desk,"A realistic desk in rgb(253, 126, 93)."
66,Vivid yellowish pink,253,126,93,bicycle,"A bicycle in rgb(253, 126, 93)."
67,Vivid yellowish pink,253,126,93,skateboard,"A skateboard with the color rgb(253, 126, 93)."
68,Vivid yellowish pink,253,126,93,crocodile,"An image of a crocodile in rgb(253, 126, 93)."
69,Vivid yellowish pink,253,126,93,cow,"A cow with color rgb(253, 126, 93)."
70,Vivid yellowish pink,253,126,93,pants,"A photo of a pants in color rgb(253, 126, 93)."
71,Vivid yellowish pink,253,126,93,couch,"A couch in rgb(253, 126, 93)."
72,Vivid yellowish pink,253,126,93,oven,"A photo of a oven in color rgb(253, 126, 93)."
73,Vivid yellowish pink,253,126,93,sweatshirt,"A sweatshirt with the color rgb(253, 126, 93)."
74,Vivid yellowish pink,253,126,93,tie,"A tie with the color rgb(253, 126, 93)."
75,Vivid yellowish pink,253,126,93,elephant,"A realistic elephant in rgb(253, 126, 93)."
76,Grayish yellowish pink,203,172,172,apple,"An image of a apple in rgb(203, 172, 172)."
77,Grayish yellowish pink,203,172,172,parrot,"A realistic parrot in rgb(203, 172, 172)."
78,Grayish yellowish pink,203,172,172,chair,"A realistic chair in rgb(203, 172, 172)."
79,Grayish yellowish pink,203,172,172,iron,"A iron with the color rgb(203, 172, 172)."
80,Grayish yellowish pink,203,172,172,candle,"A photo of a candle in color rgb(203, 172, 172)."
81,Grayish yellowish pink,203,172,172,jeans,"A photo of a jeans in color rgb(203, 172, 172)."
82,Grayish yellowish pink,203,172,172,bear,"A bear with the color rgb(203, 172, 172)."
83,Grayish yellowish pink,203,172,172,skateboard,"An image of a skateboard in rgb(203, 172, 172)."
84,Grayish yellowish pink,203,172,172,duck,"A duck in rgb(203, 172, 172)."
85,Grayish yellowish pink,203,172,172,wardrobe,"A photo of a wardrobe in color rgb(203, 172, 172)."
86,Grayish yellowish pink,203,172,172,suitcase,"A photo of a suitcase in color rgb(203, 172, 172)."
87,Grayish yellowish pink,203,172,172,sponge,"A sponge in rgb(203, 172, 172)."
88,Grayish yellowish pink,203,172,172,tie,"A tie with the color rgb(203, 172, 172)."
89,Grayish yellowish pink,203,172,172,oven,"A oven in rgb(203, 172, 172)."
90,Grayish yellowish pink,203,172,172,guava,"A photo of a guava in color rgb(203, 172, 172)."
91,Vivid reddish orange,232,59,27,apple,"A photo of a apple in color rgb(232, 59, 27)."
92,Vivid reddish orange,232,59,27,bus,"A bus with the color rgb(232, 59, 27)."
93,Vivid reddish orange,232,59,27,minivan,"A minivan with the color rgb(232, 59, 27)."
94,Vivid reddish orange,232,59,27,fan,"A fan colored rgb(232, 59, 27)."
95,Vivid reddish orange,232,59,27,crocodile,"An image of a crocodile in rgb(232, 59, 27)."
96,Vivid reddish orange,232,59,27,sports ball,"A sports ball colored rgb(232, 59, 27)."
97,Vivid reddish orange,232,59,27,baseball bat,"A baseball bat colored rgb(232, 59, 27)."
98,Vivid reddish orange,232,59,27,mug,"A realistic mug in rgb(232, 59, 27)."
99,Vivid reddish orange,232,59,27,suitcase,"A suitcase in rgb(232, 59, 27)."
100,Vivid reddish orange,232,59,27,parrot,"A parrot with the color rgb(232, 59, 27)."
101,Vivid reddish orange,232,59,27,chair,"A chair in rgb(232, 59, 27)."
102,Vivid reddish orange,232,59,27,candle,"A candle colored rgb(232, 59, 27)."
103,Vivid reddish orange,232,59,27,boxing glove,"An image of a boxing glove in rgb(232, 59, 27)."
104,Vivid reddish orange,232,59,27,sweatshirt,"A sweatshirt with the color rgb(232, 59, 27)."
105,Vivid reddish orange,232,59,27,papaya,"A photo of a papaya in color rgb(232, 59, 27)."
106,Grayish reddish orange,185,117,101,tie,"A tie with the color rgb(185, 117, 101)."
107,Grayish reddish orange,185,117,101,fan,"A photo of a fan in color rgb(185, 117, 101)."
108,Grayish reddish orange,185,117,101,parrot,"A parrot rendered in RGB color rgb(185, 117, 101)."
109,Grayish reddish orange,185,117,101,teapot,"A teapot colored rgb(185, 117, 101)."
110,Grayish reddish orange,185,117,101,chair,"A realistic chair in rgb(185, 117, 101)."
111,Grayish reddish orange,185,117,101,wardrobe,"A realistic wardrobe in rgb(185, 117, 101)."
112,Grayish reddish orange,185,117,101,cow,"A photo of a cow in color rgb(185, 117, 101)."
113,Grayish reddish orange,185,117,101,baseball bat,"A baseball bat colored rgb(185, 117, 101)."
114,Grayish reddish orange,185,117,101,desk,"A desk in rgb(185, 117, 101)."
115,Grayish reddish orange,185,117,101,sports ball,"A sports ball rendered in RGB color rgb(185, 117, 101)."
116,Grayish reddish orange,185,117,101,apple,"A apple colored rgb(185, 117, 101)."
117,Grayish reddish orange,185,117,101,ruler,"A ruler in rgb(185, 117, 101)."
118,Grayish reddish orange,185,117,101,couch,"A couch colored rgb(185, 117, 101)."
119,Grayish reddish orange,185,117,101,orange,"A orange with color rgb(185, 117, 101)."
120,Grayish reddish orange,185,117,101,bicycle,"A realistic bicycle in rgb(185, 117, 101)."
121,Deep reddish brown,97,15,18,microwave,"A realistic microwave in rgb(97, 15, 18)."
122,Deep reddish brown,97,15,18,wardrobe,"A wardrobe rendered in RGB color rgb(97, 15, 18)."
123,Deep reddish brown,97,15,18,jeans,"A jeans in rgb(97, 15, 18)."
124,Deep reddish brown,97,15,18,ruler,"A ruler with the color rgb(97, 15, 18)."
125,Deep reddish brown,97,15,18,mug,"A mug rendered in RGB color rgb(97, 15, 18)."
126,Deep reddish brown,97,15,18,elephant,"A elephant with the color rgb(97, 15, 18)."
127,Deep reddish brown,97,15,18,tie,"A tie with the color rgb(97, 15, 18)."
128,Deep reddish brown,97,15,18,fan,"A photo of a fan in color rgb(97, 15, 18)."
129,Deep reddish brown,97,15,18,suitcase,"A suitcase colored rgb(97, 15, 18)."
130,Deep reddish brown,97,15,18,orange,"A orange with the color rgb(97, 15, 18)."
131,Deep reddish brown,97,15,18,parrot,"A photo of a parrot in color rgb(97, 15, 18)."
132,Deep reddish brown,97,15,18,sweatshirt,"A sweatshirt in rgb(97, 15, 18)."
133,Deep reddish brown,97,15,18,remote,"A remote with the color rgb(97, 15, 18)."
134,Deep reddish brown,97,15,18,iron,"A iron colored rgb(97, 15, 18)."
135,Deep reddish brown,97,15,18,crocodile,"An image of a crocodile in rgb(97, 15, 18)."
136,Light grayish reddish brown,158,127,122,skateboard,"A skateboard with the color rgb(158, 127, 122)."
137,Light grayish reddish brown,158,127,122,suitcase,"A photo of a suitcase in color rgb(158, 127, 122)."
138,Light grayish reddish brown,158,127,122,ruler,"A ruler with color rgb(158, 127, 122)."
139,Light grayish reddish brown,158,127,122,remote,"A remote rendered in RGB color rgb(158, 127, 122)."
140,Light grayish reddish brown,158,127,122,sports ball,"An image of a sports ball in rgb(158, 127, 122)."
141,Light grayish reddish brown,158,127,122,fan,"A fan with the color rgb(158, 127, 122)."
142,Light grayish reddish brown,158,127,122,guava,"A photo of a guava in color rgb(158, 127, 122)."
143,Light grayish reddish brown,158,127,122,chair,"An image of a chair in rgb(158, 127, 122)."
144,Light grayish reddish brown,158,127,122,oven,"A oven with color rgb(158, 127, 122)."
145,Light grayish reddish brown,158,127,122,desk,"A desk rendered in RGB color rgb(158, 127, 122)."
146,Light grayish reddish brown,158,127,122,iron,"A realistic iron in rgb(158, 127, 122)."
147,Light grayish reddish brown,158,127,122,apple,"A apple with color rgb(158, 127, 122)."
148,Light grayish reddish brown,158,127,122,bicycle,"A bicycle in rgb(158, 127, 122)."
149,Light grayish reddish brown,158,127,122,sweatshirt,"A sweatshirt with color rgb(158, 127, 122)."
150,Light grayish reddish brown,158,127,122,couch,"A couch with the color rgb(158, 127, 122)."
151,Deep orange,194,96,18,chair,"A chair in rgb(194, 96, 18)."
152,Deep orange,194,96,18,skateboard,"A skateboard with the color rgb(194, 96, 18)."
153,Deep orange,194,96,18,clock,"A clock colored rgb(194, 96, 18)."
154,Deep orange,194,96,18,couch,"A couch with color rgb(194, 96, 18)."
155,Deep orange,194,96,18,jeans,"A jeans in rgb(194, 96, 18)."
156,Deep orange,194,96,18,elephant,"A elephant in rgb(194, 96, 18)."
157,Deep orange,194,96,18,baseball bat,"An image of a baseball bat in rgb(194, 96, 18)."
158,Deep orange,194,96,18,microwave,"A microwave rendered in RGB color rgb(194, 96, 18)."
159,Deep orange,194,96,18,suitcase,"A suitcase with color rgb(194, 96, 18)."
160,Deep orange,194,96,18,minivan,"A minivan rendered in RGB color rgb(194, 96, 18)."
161,Deep orange,194,96,18,socks,"A realistic socks in rgb(194, 96, 18)."
162,Deep orange,194,96,18,sponge,"A sponge colored rgb(194, 96, 18)."
163,Deep orange,194,96,18,crocodile,"A crocodile in rgb(194, 96, 18)."
164,Deep orange,194,96,18,mug,"A mug with the color rgb(194, 96, 18)."
165,Deep orange,194,96,18,parrot,"A parrot with the color rgb(194, 96, 18)."
166,Light orange,251,175,130,sponge,"A photo of a sponge in color rgb(251, 175, 130)."
167,Light orange,251,175,130,elephant,"A photo of a elephant in color rgb(251, 175, 130)."
168,Light orange,251,175,130,parrot,"A parrot with the color rgb(251, 175, 130)."
169,Light orange,251,175,130,bus,"An image of a bus in rgb(251, 175, 130)."
170,Light orange,251,175,130,taxi,"A taxi colored rgb(251, 175, 130)."
171,Light orange,251,175,130,socks,"A socks rendered in RGB color rgb(251, 175, 130)."
172,Light orange,251,175,130,jeans,"A photo of a jeans in color rgb(251, 175, 130)."
173,Light orange,251,175,130,fan,"A fan rendered in RGB color rgb(251, 175, 130)."
174,Light orange,251,175,130,wardrobe,"A wardrobe rendered in RGB color rgb(251, 175, 130)."
175,Light orange,251,175,130,chair,"A chair colored rgb(251, 175, 130)."
176,Light orange,251,175,130,ruler,"A ruler in rgb(251, 175, 130)."
177,Light orange,251,175,130,oven,"A oven rendered in RGB color rgb(251, 175, 130)."
178,Light orange,251,175,130,snowboard,"An image of a snowboard in rgb(251, 175, 130)."
179,Light orange,251,175,130,football helmet,"A football helmet colored rgb(251, 175, 130)."
180,Light orange,251,175,130,sports car,"A photo of a sports car in color rgb(251, 175, 130)."
181,Strong brown,138,68,22,baseball bat,"A baseball bat colored rgb(138, 68, 22)."
182,Strong brown,138,68,22,bear,"An image of a bear in rgb(138, 68, 22)."
183,Strong brown,138,68,22,couch,"A couch with color rgb(138, 68, 22)."
184,Strong brown,138,68,22,mango,"A mango with the color rgb(138, 68, 22)."
185,Strong brown,138,68,22,bus,"A bus with color rgb(138, 68, 22)."
186,Strong brown,138,68,22,candle,"An image of a candle in rgb(138, 68, 22)."
187,Strong brown,138,68,22,umbrella,"A umbrella colored rgb(138, 68, 22)."
188,Strong brown,138,68,22,tie,"An image of a tie in rgb(138, 68, 22)."
189,Strong brown,138,68,22,desk,"A desk in rgb(138, 68, 22)."
190,Strong brown,138,68,22,sports car,"A sports car with the color rgb(138, 68, 22)."
191,Strong brown,138,68,22,oven,"A oven with color rgb(138, 68, 22)."
192,Strong brown,138,68,22,football helmet,"A football helmet rendered in RGB color rgb(138, 68, 22)."
193,Strong brown,138,68,22,parrot,"A parrot with color rgb(138, 68, 22)."
194,Strong brown,138,68,22,vehicle,"A vehicle in rgb(138, 68, 22)."
195,Strong brown,138,68,22,pants,"A pants with the color rgb(138, 68, 22)."
196,Deep orange yellow,208,133,17,pants,"A photo of a pants in color rgb(208, 133, 17)."
197,Deep orange yellow,208,133,17,wardrobe,"An image of a wardrobe in rgb(208, 133, 17)."
198,Deep orange yellow,208,133,17,sports car,"A sports car colored rgb(208, 133, 17)."
199,Deep orange yellow,208,133,17,remote,"A remote with the color rgb(208, 133, 17)."
200,Deep orange yellow,208,133,17,sponge,"An image of a sponge in rgb(208, 133, 17)."
201,Deep orange yellow,208,133,17,fan,"An image of a fan in rgb(208, 133, 17)."
202,Deep orange yellow,208,133,17,crocodile,"A crocodile with the color rgb(208, 133, 17)."
203,Deep orange yellow,208,133,17,clock,"A clock with color rgb(208, 133, 17)."
204,Deep orange yellow,208,133,17,mango,"A mango with color rgb(208, 133, 17)."
205,Deep orange yellow,208,133,17,sweatshirt,"A sweatshirt colored rgb(208, 133, 17)."
206,Deep orange yellow,208,133,17,tie,"An image of a tie in rgb(208, 133, 17)."
207,Deep orange yellow,208,133,17,skateboard,"A skateboard colored rgb(208, 133, 17)."
208,Deep orange yellow,208,133,17,bus,"A bus with color rgb(208, 133, 17)."
209,Deep orange yellow,208,133,17,snowboard,"A snowboard rendered in RGB color rgb(208, 133, 17)."
210,Deep orange yellow,208,133,17,bicycle,"A photo of a bicycle in color rgb(208, 133, 17)."
211,Grayish yellowish brown,126,105,93,papaya,"A realistic papaya in rgb(126, 105, 93)."
212,Grayish yellowish brown,126,105,93,ruler,"A realistic ruler in rgb(126, 105, 93)."
213,Grayish yellowish brown,126,105,93,mango,"A realistic mango in rgb(126, 105, 93)."
214,Grayish yellowish brown,126,105,93,cow,"A photo of a cow in color rgb(126, 105, 93)."
215,Grayish yellowish brown,126,105,93,football helmet,"A realistic football helmet in rgb(126, 105, 93)."
216,Grayish yellowish brown,126,105,93,sweatshirt,"A sweatshirt rendered in RGB color rgb(126, 105, 93)."
217,Grayish yellowish brown,126,105,93,oven,"A oven with the color rgb(126, 105, 93)."
218,Grayish yellowish brown,126,105,93,guava,"A guava with color rgb(126, 105, 93)."
219,Grayish yellowish brown,126,105,93,jeans,"An image of a jeans in rgb(126, 105, 93)."
220,Grayish yellowish brown,126,105,93,bicycle,"A bicycle with the color rgb(126, 105, 93)."
221,Grayish yellowish brown,126,105,93,snowboard,"A photo of a snowboard in color rgb(126, 105, 93)."
222,Grayish yellowish brown,126,105,93,microwave,"A microwave with color rgb(126, 105, 93)."
223,Grayish yellowish brown,126,105,93,suitcase,"A photo of a suitcase in color rgb(126, 105, 93)."
224,Grayish yellowish brown,126,105,93,wardrobe,"A photo of a wardrobe in color rgb(126, 105, 93)."
225,Grayish yellowish brown,126,105,93,remote,"A remote rendered in RGB color rgb(126, 105, 93)."
226,Vivid greenish yellow,235,221,33,vehicle,"A vehicle in rgb(235, 221, 33)."
227,Vivid greenish yellow,235,221,33,bus,"A bus with the color rgb(235, 221, 33)."
228,Vivid greenish yellow,235,221,33,sports ball,"A sports ball colored rgb(235, 221, 33)."
229,Vivid greenish yellow,235,221,33,candle,"A photo of a candle in color rgb(235, 221, 33)."
230,Vivid greenish yellow,235,221,33,football helmet,"A football helmet rendered in RGB color rgb(235, 221, 33)."
231,Vivid greenish yellow,235,221,33,apple,"A realistic apple in rgb(235, 221, 33)."
232,Vivid greenish yellow,235,221,33,desk,"A desk in rgb(235, 221, 33)."
233,Vivid greenish yellow,235,221,33,papaya,"A photo of a papaya in color rgb(235, 221, 33)."
234,Vivid greenish yellow,235,221,33,sweatshirt,"A sweatshirt with the color rgb(235, 221, 33)."
235,Vivid greenish yellow,235,221,33,tie,"A realistic tie in rgb(235, 221, 33)."
236,Vivid greenish yellow,235,221,33,mango,"A mango rendered in RGB color rgb(235, 221, 33)."
237,Vivid greenish yellow,235,221,33,mug,"A realistic mug in rgb(235, 221, 33)."
238,Vivid greenish yellow,235,221,33,guava,"An image of a guava in rgb(235, 221, 33)."
239,Vivid greenish yellow,235,221,33,iron,"A realistic iron in rgb(235, 221, 33)."
240,Vivid greenish yellow,235,221,33,elephant,"A elephant colored rgb(235, 221, 33)."
241,Light greenish yellow,233,221,138,jeans,"A photo of a jeans in color rgb(233, 221, 138)."
242,Light greenish yellow,233,221,138,teapot,"A teapot with color rgb(233, 221, 138)."
243,Light greenish yellow,233,221,138,bear,"An image of a bear in rgb(233, 221, 138)."
244,Light greenish yellow,233,221,138,candle,"An image of a candle in rgb(233, 221, 138)."
245,Light greenish yellow,233,221,138,sponge,"A sponge with the color rgb(233, 221, 138)."
246,Light greenish yellow,233,221,138,skateboard,"A skateboard rendered in RGB color rgb(233, 221, 138)."
247,Light greenish yellow,233,221,138,sports ball,"A sports ball rendered in RGB color rgb(233, 221, 138)."
248,Light greenish yellow,233,221,138,baseball bat,"A photo of a baseball bat in color rgb(233, 221, 138)."
249,Light greenish yellow,233,221,138,duck,"A duck colored rgb(233, 221, 138)."
250,Light greenish yellow,233,221,138,mug,"A mug rendered in RGB color rgb(233, 221, 138)."
251,Light greenish yellow,233,221,138,football helmet,"A photo of a football helmet in color rgb(233, 221, 138)."
252,Light greenish yellow,233,221,138,pants,"A pants with the color rgb(233, 221, 138)."
253,Light greenish yellow,233,221,138,snowboard,"A snowboard colored rgb(233, 221, 138)."
254,Light greenish yellow,233,221,138,apple,"A apple colored rgb(233, 221, 138)."
255,Light greenish yellow,233,221,138,microwave,"An image of a microwave in rgb(233, 221, 138)."
256,Grayish greenish yellow,190,181,132,parrot,"A parrot colored rgb(190, 181, 132)."
257,Grayish greenish yellow,190,181,132,desk,"A desk colored rgb(190, 181, 132)."
258,Grayish greenish yellow,190,181,132,papaya,"A photo of a papaya in color rgb(190, 181, 132)."
259,Grayish greenish yellow,190,181,132,orange,"A realistic orange in rgb(190, 181, 132)."
260,Grayish greenish yellow,190,181,132,suitcase,"A photo of a suitcase in color rgb(190, 181, 132)."
261,Grayish greenish yellow,190,181,132,iron,"A iron with color rgb(190, 181, 132)."
262,Grayish greenish yellow,190,181,132,mango,"A mango colored rgb(190, 181, 132)."
263,Grayish greenish yellow,190,181,132,socks,"A realistic socks in rgb(190, 181, 132)."
264,Grayish greenish yellow,190,181,132,vehicle,"A vehicle in rgb(190, 181, 132)."
265,Grayish greenish yellow,190,181,132,sweatshirt,"A sweatshirt colored rgb(190, 181, 132)."
266,Grayish greenish yellow,190,181,132,football helmet,"An image of a football helmet in rgb(190, 181, 132)."
267,Grayish greenish yellow,190,181,132,candle,"A candle colored rgb(190, 181, 132)."
268,Grayish greenish yellow,190,181,132,bicycle,"A bicycle rendered in RGB color rgb(190, 181, 132)."
269,Grayish greenish yellow,190,181,132,sports car,"A realistic sports car in rgb(190, 181, 132)."
270,Grayish greenish yellow,190,181,132,oven,"A oven rendered in RGB color rgb(190, 181, 132)."
271,Grayish olive,93,85,63,football helmet,"An image of a football helmet in rgb(93, 85, 63)."
272,Grayish olive,93,85,63,parrot,"A photo of a parrot in color rgb(93, 85, 63)."
273,Grayish olive,93,85,63,vehicle,"A realistic vehicle in rgb(93, 85, 63)."
274,Grayish olive,93,85,63,guava,"An image of a guava in rgb(93, 85, 63)."
275,Grayish olive,93,85,63,socks,"An image of a socks in rgb(93, 85, 63)."
276,Grayish olive,93,85,63,sweatshirt,"A sweatshirt colored rgb(93, 85, 63)."
277,Grayish olive,93,85,63,iron,"A iron with color rgb(93, 85, 63)."
278,Grayish olive,93,85,63,banana,"A banana colored rgb(93, 85, 63)."
279,Grayish olive,93,85,63,wardrobe,"A wardrobe with color rgb(93, 85, 63)."
280,Grayish olive,93,85,63,chair,"A chair with the color rgb(93, 85, 63)."
281,Grayish olive,93,85,63,desk,"A realistic desk in rgb(93, 85, 63)."
282,Grayish olive,93,85,63,cow,"A cow in rgb(93, 85, 63)."
283,Grayish olive,93,85,63,orange,"A orange in rgb(93, 85, 63)."
284,Grayish olive,93,85,63,skateboard,"An image of a skateboard in rgb(93, 85, 63)."
285,Grayish olive,93,85,63,mango,"A photo of a mango in color rgb(93, 85, 63)."
286,Dark grayish olive,53,48,28,snowboard,"A snowboard with color rgb(53, 48, 28)."
287,Dark grayish olive,53,48,28,apple,"An image of a apple in rgb(53, 48, 28)."
288,Dark grayish olive,53,48,28,fan,"A fan rendered in RGB color rgb(53, 48, 28)."
289,Dark grayish olive,53,48,28,bus,"A bus with the color rgb(53, 48, 28)."
290,Dark grayish olive,53,48,28,vehicle,"A vehicle rendered in RGB color rgb(53, 48, 28)."
291,Dark grayish olive,53,48,28,sports ball,"A sports ball with color rgb(53, 48, 28)."
292,Dark grayish olive,53,48,28,tie,"A tie with the color rgb(53, 48, 28)."
293,Dark grayish olive,53,48,28,iron,"A iron in rgb(53, 48, 28)."
294,Dark grayish olive,53,48,28,elephant,"A elephant with color rgb(53, 48, 28)."
295,Dark grayish olive,53,48,28,boxing glove,"A boxing glove colored rgb(53, 48, 28)."
296,Dark grayish olive,53,48,28,chair,"A chair colored rgb(53, 48, 28)."
297,Dark grayish olive,53,48,28,candle,"A photo of a candle in color rgb(53, 48, 28)."
298,Dark grayish olive,53,48,28,clock,"A clock with the color rgb(53, 48, 28)."
299,Dark grayish olive,53,48,28,suitcase,"A photo of a suitcase in color rgb(53, 48, 28)."
300,Dark grayish olive,53,48,28,desk,"A desk with the color rgb(53, 48, 28)."
301,Light olive gray,143,135,127,sponge,"A sponge colored rgb(143, 135, 127)."
302,Light olive gray,143,135,127,oven,"A realistic oven in rgb(143, 135, 127)."
303,Light olive gray,143,135,127,iron,"A iron with the color rgb(143, 135, 127)."
304,Light olive gray,143,135,127,pants,"A pants colored rgb(143, 135, 127)."
305,Light olive gray,143,135,127,clock,"An image of a clock in rgb(143, 135, 127)."
306,Light olive gray,143,135,127,sweatshirt,"A realistic sweatshirt in rgb(143, 135, 127)."
307,Light olive gray,143,135,127,bus,"A bus rendered in RGB color rgb(143, 135, 127)."
308,Light olive gray,143,135,127,sports car,"A sports car colored rgb(143, 135, 127)."
309,Light olive gray,143,135,127,parrot,"A parrot rendered in RGB color rgb(143, 135, 127)."
310,Light olive gray,143,135,127,wardrobe,"A wardrobe with color rgb(143, 135, 127)."
311,Light olive gray,143,135,127,taxi,"A realistic taxi in rgb(143, 135, 127)."
312,Light olive gray,143,135,127,apple,"A realistic apple in rgb(143, 135, 127)."
313,Light olive gray,143,135,127,crocodile,"A crocodile colored rgb(143, 135, 127)."
314,Light olive gray,143,135,127,minivan,"A minivan with color rgb(143, 135, 127)."
315,Light olive gray,143,135,127,bicycle,"An image of a bicycle in rgb(143, 135, 127)."
316,Vivid yellow green,167,220,38,sports ball,"An image of a sports ball in rgb(167, 220, 38)."
317,Vivid yellow green,167,220,38,banana,"A banana with color rgb(167, 220, 38)."
318,Vivid yellow green,167,220,38,baseball bat,"An image of a baseball bat in rgb(167, 220, 38)."
319,Vivid yellow green,167,220,38,teapot,"A teapot with color rgb(167, 220, 38)."
320,Vivid yellow green,167,220,38,fan,"A fan with color rgb(167, 220, 38)."
321,Vivid yellow green,167,220,38,desk,"A desk in rgb(167, 220, 38)."
322,Vivid yellow green,167,220,38,sweatshirt,"A photo of a sweatshirt in color rgb(167, 220, 38)."
323,Vivid yellow green,167,220,38,mango,"A mango with the color rgb(167, 220, 38)."
