id,css_name,color_name,hex,r,g,b,object,prompt
44,LightYellow,light yellow,#FFFFE0,255,255,224,parrot,A highly detailed parrot in hex #FFFFE0.
45,LightYellow,light yellow,#FFFFE0,255,255,224,iron,A photo of a iron in the color #FFFFE0.
46,Wheat,wheat,#F5DEB3,245,222,179,suitcase,A photo of a suitcase in the color #F5DEB3.
47,Wheat,wheat,#F5DEB3,245,222,179,snowboard,A close-up of a snowboard in the color #F5DEB3.
48,Wheat,wheat,#F5DEB3,245,222,179,mug,A mug with hex color #F5DEB3.
49,Wheat,wheat,#F5DEB3,245,222,179,guava,A realistic #F5DEB3-colored guava.
50,Wheat,wheat,#F5DEB3,245,222,179,sponge,A sponge designed in #F5DEB3 color.
51,Wheat,wheat,#F5DEB3,245,222,179,desk,A desk in color #F5DEB3.
52,Wheat,wheat,#F5DEB3,245,222,179,elephant,An image of a elephant in hex color #F5DEB3.
53,Wheat,wheat,#F5DEB3,245,222,179,skateboard,A skateboard in color #F5DEB3.
54,Wheat,wheat,#F5DEB3,245,222,179,chair,A chair with hex color #F5DEB3.
55,Wheat,wheat,#F5DEB3,245,222,179,sports ball,A sports ball with hex color #F5DEB3.
56,Wheat,wheat,#F5DEB3,245,222,179,jeans,A jeans rendered entirely in #F5DEB3.
57,Wheat,wheat,#F5DEB3,245,222,179,parrot,A highly detailed parrot in hex #F5DEB3.
58,Wheat,wheat,#F5DEB3,245,222,179,pants,A pants in color #F5DEB3.
59,Wheat,wheat,#F5DEB3,245,222,179,wardrobe,A wardrobe rendered entirely in #F5DEB3.
60,Wheat,wheat,#F5DEB3,245,222,179,ruler,A ruler rendered entirely in #F5DEB3.
61,Sienna,sienna,#A0522D,160,82,45,pants,An image of a pants in hex color #A0522D.
62,Sienna,sienna,#A0522D,160,82,45,desk,A desk rendered in #A0522D color.
63,Sienna,sienna,#A0522D,160,82,45,duck,A realistic #A0522D-colored duck.
64,Sienna,sienna,#A0522D,160,82,45,skateboard,A skateboard with hex color #A0522D.
65,Sienna,sienna,#A0522D,160,82,45,jeans,A realistic #A0522D-colored jeans.
66,Sienna,sienna,#A0522D,160,82,45,bicycle,A bicycle in color #A0522D.
67,Sienna,sienna,#A0522D,160,82,45,clock,A clock rendered in #A0522D color.
68,Sienna,sienna,#A0522D,160,82,45,parrot,A realistic #A0522D-colored parrot.
69,Sienna,sienna,#A0522D,160,82,45,baseball bat,A highly detailed baseball bat in hex #A0522D.
70,Sienna,sienna,#A0522D,160,82,45,minivan,A close-up of a minivan in the color #A0522D.
71,Sienna,sienna,#A0522D,160,82,45,football helmet,A football helmet with hex color #A0522D.
72,Sienna,sienna,#A0522D,160,82,45,microwave,A photo of a microwave in the color #A0522D.
73,Sienna,sienna,#A0522D,160,82,45,wardrobe,A wardrobe with hex color #A0522D.
74,Sienna,sienna,#A0522D,160,82,45,bear,A realistic #A0522D-colored bear.
75,Sienna,sienna,#A0522D,160,82,45,sponge,A realistic #A0522D-colored sponge.
76,BurlyWood,burly wood,#DEB887,222,184,135,bicycle,A realistic #DEB887-colored bicycle.
77,BurlyWood,burly wood,#DEB887,222,184,135,pants,A pants with hex color #DEB887.
78,BurlyWood,burly wood,#DEB887,222,184,135,remote,A remote with hex color #DEB887.
79,BurlyWood,burly wood,#DEB887,222,184,135,mug,A mug designed in #DEB887 color.
80,BurlyWood,burly wood,#DEB887,222,184,135,vehicle,A realistic #DEB887-colored vehicle.
81,BurlyWood,burly wood,#DEB887,222,184,135,clock,A clock with hex color #DEB887.
82,BurlyWood,burly wood,#DEB887,222,184,135,taxi,A taxi rendered in #DEB887 color.
83,BurlyWood,burly wood,#DEB887,222,184,135,oven,A realistic #DEB887-colored oven.
84,BurlyWood,burly wood,#DEB887,222,184,135,sports ball,A highly detailed sports ball in hex #DEB887.
85,BurlyWood,burly wood,#DEB887,222,184,135,orange,A orange rendered entirely in #DEB887.
86,BurlyWood,burly wood,#DEB887,222,184,135,socks,A close-up of a socks in the color #DEB887.
87,BurlyWood,burly wood,#DEB887,222,184,135,banana,A realistic #DEB887-colored banana.
88,BurlyWood,burly wood,#DEB887,222,184,135,parrot,A close-up of a parrot in the color #DEB887.
89,BurlyWood,burly wood,#DEB887,222,184,135,ruler,A ruler rendered in #DEB887 color.
90,BurlyWood,burly wood,#DEB887,222,184,135,apple,A apple rendered entirely in #DEB887.
91,PapayaWhip,papaya whip,#FFEFD5,255,239,213,ruler,A ruler in color #FFEFD5.
92,PapayaWhip,papaya whip,#FFEFD5,255,239,213,snowboard,An image of a snowboard in hex color #FFEFD5.
93,PapayaWhip,papaya whip,#FFEFD5,255,239,213,taxi,A close-up of a taxi in the color #FFEFD5.
94,PapayaWhip,papaya whip,#FFEFD5,255,239,213,teapot,A teapot in color #FFEFD5.
95,PapayaWhip,papaya whip,#FFEFD5,255,239,213,duck,An image of a duck in hex color #FFEFD5.
96,PapayaWhip,papaya whip,#FFEFD5,255,239,213,fan,A photo of a fan in the color #FFEFD5.
97,PapayaWhip,papaya whip,#FFEFD5,255,239,213,clock,A clock in color #FFEFD5.
98,PapayaWhip,papaya whip,#FFEFD5,255,239,213,sports ball,A realistic #FFEFD5-colored sports ball.
99,PapayaWhip,papaya whip,#FFEFD5,255,239,213,umbrella,A close-up of a umbrella in the color #FFEFD5.
100,PapayaWhip,papaya whip,#FFEFD5,255,239,213,apple,A apple rendered in #FFEFD5 color.
101,PapayaWhip,papaya whip,#FFEFD5,255,239,213,minivan,A minivan designed in #FFEFD5 color.
102,PapayaWhip,papaya whip,#FFEFD5,255,239,213,vehicle,A close-up of a vehicle in the color #FFEFD5.
103,PapayaWhip,papaya whip,#FFEFD5,255,239,213,socks,A realistic #FFEFD5-colored socks.
104,PapayaWhip,papaya whip,#FFEFD5,255,239,213,sponge,A sponge with hex color #FFEFD5.
105,PapayaWhip,papaya whip,#FFEFD5,255,239,213,bicycle,A highly detailed bicycle in hex #FFEFD5.
106,Brown,brown,#A52A2A,165,42,42,sweatshirt,An image of a sweatshirt in hex color #A52A2A.
107,Brown,brown,#A52A2A,165,42,42,candle,A candle rendered entirely in #A52A2A.
108,Brown,brown,#A52A2A,165,42,42,sports ball,A photo of a sports ball in the color #A52A2A.
109,Brown,brown,#A52A2A,165,42,42,sponge,A sponge in color #A52A2A.
110,Brown,brown,#A52A2A,165,42,42,papaya,A close-up of a papaya in the color #A52A2A.
111,Brown,brown,#A52A2A,165,42,42,tie,A close-up of a tie in the color #A52A2A.
112,Brown,brown,#A52A2A,165,42,42,couch,A close-up of a couch in the color #A52A2A.
113,Brown,brown,#A52A2A,165,42,42,football helmet,A realistic #A52A2A-colored football helmet.
114,Brown,brown,#A52A2A,165,42,42,wardrobe,A wardrobe designed in #A52A2A color.
115,Brown,brown,#A52A2A,165,42,42,sports car,A sports car with hex color #A52A2A.
116,Brown,brown,#A52A2A,165,42,42,socks,A socks rendered entirely in #A52A2A.
117,Brown,brown,#A52A2A,165,42,42,snowboard,A snowboard with hex color #A52A2A.
118,Brown,brown,#A52A2A,165,42,42,desk,A desk rendered in #A52A2A color.
119,Brown,brown,#A52A2A,165,42,42,orange,A orange designed in #A52A2A color.
120,Brown,brown,#A52A2A,165,42,42,pants,A close-up of a pants in the color #A52A2A.
121,NavajoWhite,navajo white,#FFDEAD,255,222,173,apple,An image of a apple in hex color #FFDEAD.
122,NavajoWhite,navajo white,#FFDEAD,255,222,173,teapot,A teapot with hex color #FFDEAD.
123,NavajoWhite,navajo white,#FFDEAD,255,222,173,jeans,A jeans rendered entirely in #FFDEAD.
124,NavajoWhite,navajo white,#FFDEAD,255,222,173,couch,An image of a couch in hex color #FFDEAD.
125,NavajoWhite,navajo white,#FFDEAD,255,222,173,orange,A orange rendered entirely in #FFDEAD.
126,NavajoWhite,navajo white,#FFDEAD,255,222,173,parrot,A parrot rendered in #FFDEAD color.
127,NavajoWhite,navajo white,#FFDEAD,255,222,173,bicycle,A bicycle designed in #FFDEAD color.
128,NavajoWhite,navajo white,#FFDEAD,255,222,173,banana,A banana rendered in #FFDEAD color.
129,NavajoWhite,navajo white,#FFDEAD,255,222,173,sports ball,A sports ball rendered entirely in #FFDEAD.
130,NavajoWhite,navajo white,#FFDEAD,255,222,173,bear,A realistic #FFDEAD-colored bear.
131,NavajoWhite,navajo white,#FFDEAD,255,222,173,papaya,A papaya designed in #FFDEAD color.
132,NavajoWhite,navajo white,#FFDEAD,255,222,173,mug,A mug with hex color #FFDEAD.
133,NavajoWhite,navajo white,#FFDEAD,255,222,173,candle,A close-up of a candle in the color #FFDEAD.
134,NavajoWhite,navajo white,#FFDEAD,255,222,173,suitcase,A suitcase rendered in #FFDEAD color.
135,NavajoWhite,navajo white,#FFDEAD,255,222,173,guava,A close-up of a guava in the color #FFDEAD.
136,RosyBrown,rosy brown,#BC8F8F,188,143,143,orange,A orange with hex color #BC8F8F.
137,RosyBrown,rosy brown,#BC8F8F,188,143,143,socks,A socks in color #BC8F8F.
138,RosyBrown,rosy brown,#BC8F8F,188,143,143,parrot,A highly detailed parrot in hex #BC8F8F.
139,RosyBrown,rosy brown,#BC8F8F,188,143,143,fan,A fan in color #BC8F8F.
140,RosyBrown,rosy brown,#BC8F8F,188,143,143,remote,A close-up of a remote in the color #BC8F8F.
141,RosyBrown,rosy brown,#BC8F8F,188,143,143,ruler,A ruler rendered entirely in #BC8F8F.
142,RosyBrown,rosy brown,#BC8F8F,188,143,143,boxing glove,A boxing glove in color #BC8F8F.
143,RosyBrown,rosy brown,#BC8F8F,188,143,143,sponge,A highly detailed sponge in hex #BC8F8F.
144,RosyBrown,rosy brown,#BC8F8F,188,143,143,candle,A close-up of a candle in the color #BC8F8F.
145,RosyBrown,rosy brown,#BC8F8F,188,143,143,crocodile,A highly detailed crocodile in hex #BC8F8F.
146,RosyBrown,rosy brown,#BC8F8F,188,143,143,duck,A highly detailed duck in hex #BC8F8F.
147,RosyBrown,rosy brown,#BC8F8F,188,143,143,bear,An image of a bear in hex color #BC8F8F.
148,RosyBrown,rosy brown,#BC8F8F,188,143,143,football helmet,A highly detailed football helmet in hex #BC8F8F.
149,RosyBrown,rosy brown,#BC8F8F,188,143,143,sweatshirt,A sweatshirt in color #BC8F8F.
150,RosyBrown,rosy brown,#BC8F8F,188,143,143,banana,A banana rendered entirely in #BC8F8F.
151,Orange,orange,#FFA500,255,165,0,ruler,A ruler in color #FFA500.
152,Orange,orange,#FFA500,255,165,0,socks,An image of a socks in hex color #FFA500.
153,Orange,orange,#FFA500,255,165,0,sweatshirt,A sweatshirt designed in #FFA500 color.
154,Orange,orange,#FFA500,255,165,0,duck,A highly detailed duck in hex #FFA500.
155,Orange,orange,#FFA500,255,165,0,remote,A highly detailed remote in hex #FFA500.
156,Orange,orange,#FFA500,255,165,0,skateboard,A skateboard in color #FFA500.
157,Orange,orange,#FFA500,255,165,0,suitcase,A suitcase in color #FFA500.
158,Orange,orange,#FFA500,255,165,0,snowboard,A realistic #FFA500-colored snowboard.
159,Orange,orange,#FFA500,255,165,0,sports ball,A close-up of a sports ball in the color #FFA500.
160,Orange,orange,#FFA500,255,165,0,boxing glove,A realistic #FFA500-colored boxing glove.
161,Orange,orange,#FFA500,255,165,0,guava,A guava rendered in #FFA500 color.
162,Orange,orange,#FFA500,255,165,0,chair,A chair with hex color #FFA500.
163,Orange,orange,#FFA500,255,165,0,oven,A photo of a oven in the color #FFA500.
164,Orange,orange,#FFA500,255,165,0,desk,A desk in color #FFA500.
165,Orange,orange,#FFA500,255,165,0,pants,A close-up of a pants in the color #FFA500.
166,DarkGoldenRod,dark golden rod,#B8860B,184,134,11,taxi,A taxi in color #B8860B.
167,DarkGoldenRod,dark golden rod,#B8860B,184,134,11,microwave,A realistic #B8860B-colored microwave.
168,DarkGoldenRod,dark golden rod,#B8860B,184,134,11,bear,A bear with hex color #B8860B.
169,DarkGoldenRod,dark golden rod,#B8860B,184,134,11,teapot,A teapot rendered in #B8860B color.
170,DarkGoldenRod,dark golden rod,#B8860B,184,134,11,parrot,A parrot rendered in #B8860B color.
171,DarkGoldenRod,dark golden rod,#B8860B,184,134,11,oven,A highly detailed oven in hex #B8860B.
172,DarkGoldenRod,dark golden rod,#B8860B,184,134,11,football helmet,A close-up of a football helmet in the color #B8860B.
173,DarkGoldenRod,dark golden rod,#B8860B,184,134,11,duck,A photo of a duck in the color #B8860B.
174,DarkGoldenRod,dark golden rod,#B8860B,184,134,11,bicycle,A close-up of a bicycle in the color #B8860B.
175,DarkGoldenRod,dark golden rod,#B8860B,184,134,11,jeans,A jeans rendered in #B8860B color.
176,DarkGoldenRod,dark golden rod,#B8860B,184,134,11,boxing glove,A realistic #B8860B-colored boxing glove.
177,DarkGoldenRod,dark golden rod,#B8860B,184,134,11,couch,A couch designed in #B8860B color.
178,DarkGoldenRod,dark golden rod,#B8860B,184,134,11,chair,A chair rendered in #B8860B color.
179,DarkGoldenRod,dark golden rod,#B8860B,184,134,11,skateboard,An image of a skateboard in hex color #B8860B.
180,DarkGoldenRod,dark golden rod,#B8860B,184,134,11,clock,A clock in color #B8860B.
181,OrangeRed,orange red,#FF4500,255,69,0,boxing glove,A boxing glove with hex color #FF4500.
182,OrangeRed,orange red,#FF4500,255,69,0,wardrobe,A realistic #FF4500-colored wardrobe.
183,OrangeRed,orange red,#FF4500,255,69,0,baseball bat,An image of a baseball bat in hex color #FF4500.
184,OrangeRed,orange red,#FF4500,255,69,0,bus,A photo of a bus in the color #FF4500.
185,OrangeRed,orange red,#FF4500,255,69,0,bicycle,A highly detailed bicycle in hex #FF4500.
186,OrangeRed,orange red,#FF4500,255,69,0,minivan,A realistic #FF4500-colored minivan.
187,OrangeRed,orange red,#FF4500,255,69,0,chair,A chair with hex color #FF4500.
188,OrangeRed,orange red,#FF4500,255,69,0,skateboard,A skateboard rendered entirely in #FF4500.
189,OrangeRed,orange red,#FF4500,255,69,0,bear,A bear with hex color #FF4500.
190,OrangeRed,orange red,#FF4500,255,69,0,teapot,An image of a teapot in hex color #FF4500.
191,OrangeRed,orange red,#FF4500,255,69,0,jeans,A jeans rendered in #FF4500 color.
192,OrangeRed,orange red,#FF4500,255,69,0,sponge,A photo of a sponge in the color #FF4500.
193,OrangeRed,orange red,#FF4500,255,69,0,snowboard,An image of a snowboard in hex color #FF4500.
194,OrangeRed,orange red,#FF4500,255,69,0,clock,A photo of a clock in the color #FF4500.
195,OrangeRed,orange red,#FF4500,255,69,0,apple,A close-up of a apple in the color #FF4500.
196,Khaki,khaki,#F0E68C,240,230,140,iron,A iron rendered entirely in #F0E68C.
197,Khaki,khaki,#F0E68C,240,230,140,sports ball,A close-up of a sports ball in the color #F0E68C.
198,Khaki,khaki,#F0E68C,240,230,140,ruler,A ruler rendered in #F0E68C color.
199,Khaki,khaki,#F0E68C,240,230,140,couch,A couch with hex color #F0E68C.
200,Khaki,khaki,#F0E68C,240,230,140,sports car,A sports car in color #F0E68C.
201,Khaki,khaki,#F0E68C,240,230,140,jeans,A jeans rendered entirely in #F0E68C.
202,Khaki,khaki,#F0E68C,240,230,140,papaya,An image of a papaya in hex color #F0E68C.
203,Khaki,khaki,#F0E68C,240,230,140,elephant,A elephant designed in #F0E68C color.
204,Khaki,khaki,#F0E68C,240,230,140,sponge,A close-up of a sponge in the color #F0E68C.
205,Khaki,khaki,#F0E68C,240,230,140,bear,A close-up of a bear in the color #F0E68C.
206,Khaki,khaki,#F0E68C,240,230,140,cow,A cow designed in #F0E68C color.
207,Khaki,khaki,#F0E68C,240,230,140,football helmet,A photo of a football helmet in the color #F0E68C.
208,Khaki,khaki,#F0E68C,240,230,140,vehicle,A vehicle rendered in #F0E68C color.
209,Khaki,khaki,#F0E68C,240,230,140,boxing glove,A close-up of a boxing glove in the color #F0E68C.
210,Khaki,khaki,#F0E68C,240,230,140,minivan,A close-up of a minivan in the color #F0E68C.
211,Chartreuse,chartreuse,#7FFF00,127,255,0,vehicle,A vehicle rendered in #7FFF00 color.
212,Chartreuse,chartreuse,#7FFF00,127,255,0,ruler,A ruler with hex color #7FFF00.
213,Chartreuse,chartreuse,#7FFF00,127,255,0,tie,A highly detailed tie in hex #7FFF00.
214,Chartreuse,chartreuse,#7FFF00,127,255,0,guava,A guava rendered in #7FFF00 color.
215,Chartreuse,chartreuse,#7FFF00,127,255,0,minivan,An image of a minivan in hex color #7FFF00.
216,Chartreuse,chartreuse,#7FFF00,127,255,0,baseball bat,A baseball bat in color #7FFF00.
217,Chartreuse,chartreuse,#7FFF00,127,255,0,apple,A highly detailed apple in hex #7FFF00.
218,Chartreuse,chartreuse,#7FFF00,127,255,0,boxing glove,A boxing glove rendered entirely in #7FFF00.
219,Chartreuse,chartreuse,#7FFF00,127,255,0,sports car,A photo of a sports car in the color #7FFF00.
220,Chartreuse,chartreuse,#7FFF00,127,255,0,crocodile,A photo of a crocodile in the color #7FFF00.
221,Chartreuse,chartreuse,#7FFF00,127,255,0,sponge,A sponge rendered entirely in #7FFF00.
222,Chartreuse,chartreuse,#7FFF00,127,255,0,parrot,A highly detailed parrot in hex #7FFF00.
223,Chartreuse,chartreuse,#7FFF00,127,255,0,snowboard,A realistic #7FFF00-colored snowboard.
224,Chartreuse,chartreuse,#7FFF00,127,255,0,fan,A fan in color #7FFF00.
225,Chartreuse,chartreuse,#7FFF00,127,255,0,clock,A clock rendered entirely in #7FFF00.
226,YellowGreen,yellow green,#9ACD32,154,205,50,sweatshirt,A sweatshirt rendered in #9ACD32 color.
227,YellowGreen,yellow green,#9ACD32,154,205,50,tie,A realistic #9ACD32-colored tie.
228,YellowGreen,yellow green,#9ACD32,154,205,50,skateboard,A skateboard rendered in #9ACD32 color.
229,YellowGreen,yellow green,#9ACD32,154,205,50,bus,A bus rendered entirely in #9ACD32.
230,YellowGreen,yellow green,#9ACD32,154,205,50,wardrobe,A photo of a wardrobe in the color #9ACD32.
231,YellowGreen,yellow green,#9ACD32,154,205,50,bicycle,A bicycle rendered entirely in #9ACD32.
232,YellowGreen,yellow green,#9ACD32,154,205,50,duck,A duck rendered in #9ACD32 color.
233,YellowGreen,yellow green,#9ACD32,154,205,50,parrot,A realistic #9ACD32-colored parrot.
234,YellowGreen,yellow green,#9ACD32,154,205,50,sponge,A sponge with hex color #9ACD32.
235,YellowGreen,yellow green,#9ACD32,154,205,50,taxi,A close-up of a taxi in the color #9ACD32.
236,YellowGreen,yellow green,#9ACD32,154,205,50,snowboard,A snowboard rendered entirely in #9ACD32.
237,YellowGreen,yellow green,#9ACD32,154,205,50,apple,A apple rendered entirely in #9ACD32.
238,YellowGreen,yellow green,#9ACD32,154,205,50,minivan,A minivan with hex color #9ACD32.
239,YellowGreen,yellow green,#9ACD32,154,205,50,remote,A highly detailed remote in hex #9ACD32.
240,YellowGreen,yellow green,#9ACD32,154,205,50,clock,A highly detailed clock in hex #9ACD32.
241,DarkSeaGreen,dark sea green,#8FBC8F,143,188,143,oven,A oven with hex color #8FBC8F.
242,DarkSeaGreen,dark sea green,#8FBC8F,143,188,143,guava,A guava in color #8FBC8F.
243,DarkSeaGreen,dark sea green,#8FBC8F,143,188,143,jeans,A jeans rendered in #8FBC8F color.
244,DarkSeaGreen,dark sea green,#8FBC8F,143,188,143,bicycle,A realistic #8FBC8F-colored bicycle.
245,DarkSeaGreen,dark sea green,#8FBC8F,143,188,143,fan,A highly detailed fan in hex #8FBC8F.
246,DarkSeaGreen,dark sea green,#8FBC8F,143,188,143,microwave,A photo of a microwave in the color #8FBC8F.
247,DarkSeaGreen,dark sea green,#8FBC8F,143,188,143,suitcase,A suitcase in color #8FBC8F.
248,DarkSeaGreen,dark sea green,#8FBC8F,143,188,143,wardrobe,A close-up of a wardrobe in the color #8FBC8F.
249,DarkSeaGreen,dark sea green,#8FBC8F,143,188,143,socks,A socks rendered in #8FBC8F color.
250,DarkSeaGreen,dark sea green,#8FBC8F,143,188,143,remote,A close-up of a remote in the color #8FBC8F.
251,DarkSeaGreen,dark sea green,#8FBC8F,143,188,143,desk,A close-up of a desk in the color #8FBC8F.
252,DarkSeaGreen,dark sea green,#8FBC8F,143,188,143,teapot,A teapot with hex color #8FBC8F.
253,DarkSeaGreen,dark sea green,#8FBC8F,143,188,143,parrot,An image of a parrot in hex color #8FBC8F.
254,DarkSeaGreen,dark sea green,#8FBC8F,143,188,143,football helmet,An image of a football helmet in hex color #8FBC8F.
255,DarkSeaGreen,dark sea green,#8FBC8F,143,188,143,candle,A close-up of a candle in the color #8FBC8F.
256,PaleGreen,pale green,#98FB98,152,251,152,candle,A candle rendered entirely in #98FB98.
257,PaleGreen,pale green,#98FB98,152,251,152,football helmet,A close-up of a football helmet in the color #98FB98.
258,PaleGreen,pale green,#98FB98,152,251,152,apple,A apple with hex color #98FB98.
259,PaleGreen,pale green,#98FB98,152,251,152,desk,A realistic #98FB98-colored desk.
260,PaleGreen,pale green,#98FB98,152,251,152,papaya,A papaya designed in #98FB98 color.
261,PaleGreen,pale green,#98FB98,152,251,152,boxing glove,An image of a boxing glove in hex color #98FB98.
262,PaleGreen,pale green,#98FB98,152,251,152,sweatshirt,A realistic #98FB98-colored sweatshirt.
263,PaleGreen,pale green,#98FB98,152,251,152,tie,A close-up of a tie in the color #98FB98.
264,PaleGreen,pale green,#98FB98,152,251,152,mango,A mango in color #98FB98.
265,PaleGreen,pale green,#98FB98,152,251,152,mug,A mug designed in #98FB98 color.
266,PaleGreen,pale green,#98FB98,152,251,152,guava,A guava with hex color #98FB98.
267,PaleGreen,pale green,#98FB98,152,251,152,sports ball,A sports ball designed in #98FB98 color.
268,PaleGreen,pale green,#98FB98,152,251,152,elephant,A realistic #98FB98-colored elephant.
269,PaleGreen,pale green,#98FB98,152,251,152,bicycle,A realistic #98FB98-colored bicycle.
270,PaleGreen,pale green,#98FB98,152,251,152,couch,A highly detailed couch in hex #98FB98.
271,DarkSlateGrey,dark slate grey,#2F4F4F,47,79,79,remote,A remote rendered in #2F4F4F color.
272,DarkSlateGrey,dark slate grey,#2F4F4F,47,79,79,teapot,A teapot designed in #2F4F4F color.
273,DarkSlateGrey,dark slate grey,#2F4F4F,47,79,79,football helmet,A football helmet in color #2F4F4F.
274,DarkSlateGrey,dark slate grey,#2F4F4F,47,79,79,crocodile,A crocodile rendered in #2F4F4F color.
275,DarkSlateGrey,dark slate grey,#2F4F4F,47,79,79,wardrobe,A close-up of a wardrobe in the color #2F4F4F.
276,DarkSlateGrey,dark slate grey,#2F4F4F,47,79,79,jeans,A jeans rendered in #2F4F4F color.
277,DarkSlateGrey,dark slate grey,#2F4F4F,47,79,79,sponge,A photo of a sponge in the color #2F4F4F.
278,DarkSlateGrey,dark slate grey,#2F4F4F,47,79,79,bear,A photo of a bear in the color #2F4F4F.
279,DarkSlateGrey,dark slate grey,#2F4F4F,47,79,79,candle,A realistic #2F4F4F-colored candle.
280,DarkSlateGrey,dark slate grey,#2F4F4F,47,79,79,iron,A iron in color #2F4F4F.
281,DarkSlateGrey,dark slate grey,#2F4F4F,47,79,79,skateboard,A skateboard with hex color #2F4F4F.
282,DarkSlateGrey,dark slate grey,#2F4F4F,47,79,79,sports ball,A sports ball with hex color #2F4F4F.
283,DarkSlateGrey,dark slate grey,#2F4F4F,47,79,79,baseball bat,A close-up of a baseball bat in the color #2F4F4F.
284,DarkSlateGrey,dark slate grey,#2F4F4F,47,79,79,mug,A mug rendered entirely in #2F4F4F.
285,DarkSlateGrey,dark slate grey,#2F4F4F,47,79,79,parrot,A parrot with hex color #2F4F4F.
286,MediumSeaGreen,medium sea green,#3CB371,60,179,113,fan,A fan designed in #3CB371 color.
