id,color,object,prompt
140,Reddish orange,oven,The oven is Reddish orange.
141,Reddish brown,teapot,A Reddish brown teapot.
142,Reddish brown,jeans,A realistic jeans in Reddish brown.
143,Reddish brown,couch,A Reddish brown colored couch.
144,Reddish brown,orange,A Reddish brown orange.
145,Reddish brown,snowboard,A Reddish brown snowboard.
146,Reddish brown,parrot,A parrot rendered in Reddish brown color.
147,Reddish brown,bicycle,"A bicycle, and it's Reddish brown."
148,Reddish brown,banana,A banana in a Reddish brown color.
149,Reddish brown,sports ball,A sports ball in a Reddish brown color.
150,Reddish brown,bear,A photo of a Reddish brown bear.
151,Reddish brown,papaya,A Reddish brown papaya.
152,Reddish brown,mug,A mug in a Reddish brown color.
153,Reddish brown,candle,The candle is Reddish brown.
154,Reddish brown,suitcase,A photo of a Reddish brown suitcase.
155,Reddish brown,guava,The guava is Reddish brown.
156,Reddish brown,fan,A fan rendered in Reddish brown color.
157,Reddish brown,vehicle,The vehicle is Reddish brown.
158,Reddish brown,pants,A pants with a Reddish brown color.
159,Reddish brown,tie,A tie that is entirely Reddish brown.
160,Reddish brown,football helmet,A single Reddish brown football helmet.
161,Reddish brown,wardrobe,The wardrobe is Reddish brown.
162,Reddish brown,chair,A chair rendered in Reddish brown color.
163,Reddish brown,umbrella,A umbrella that is entirely Reddish brown.
164,Reddish brown,elephant,A elephant rendered in Reddish brown color.
165,Reddish brown,crocodile,A crocodile rendered in Reddish brown color.
166,Reddish brown,baseball bat,A Reddish brown baseball bat.
167,Reddish brown,socks,A socks rendered in Reddish brown color.
168,Reddish brown,apple,The apple is Reddish brown.
169,Reddish brown,iron,A single Reddish brown iron.
170,Reddish brown,sports car,A sports car with a Reddish brown color.
171,Reddish brown,remote,A remote rendered in Reddish brown color.
172,Reddish brown,sponge,A sponge rendered in Reddish brown color.
173,Reddish brown,skateboard,A skateboard in a Reddish brown color.
174,Reddish brown,cow,A Reddish brown colored cow.
175,Reddish brown,mango,An image of a Reddish brown mango.
176,Orange,suitcase,A suitcase with a Orange color.
177,Orange,ruler,The ruler is Orange.
178,Orange,remote,A photo of a Orange remote.
179,Orange,sports ball,An image of a Orange sports ball.
180,Orange,skateboard,The skateboard is Orange.
181,Orange,guava,The guava is Orange.
182,Orange,chair,A realistic chair in Orange.
183,Orange,oven,A oven in a Orange color.
184,Orange,desk,A photo of a Orange desk.
185,Orange,iron,An image of a Orange iron.
186,Orange,apple,An image of a Orange apple.
187,Orange,bicycle,A bicycle rendered in Orange color.
188,Orange,socks,A socks that is entirely Orange.
189,Orange,couch,A realistic couch in Orange.
190,Orange,jeans,A Orange colored jeans.
191,Orange,baseball bat,A baseball bat that is entirely Orange.
192,Orange,crocodile,A crocodile with a Orange color.
193,Orange,snowboard,A snowboard with a Orange color.
194,Orange,football helmet,An image of a Orange football helmet.
195,Orange,mug,A mug in a Orange color.
196,Orange,cow,"A cow, and it's Orange."
197,Orange,bus,An image of a Orange bus.
198,Orange,clock,A Orange clock.
199,Orange,boxing glove,The boxing glove is Orange.
200,Orange,elephant,A elephant with a Orange color.
201,Orange,banana,A single Orange banana.
202,Orange,umbrella,An image of a Orange umbrella.
203,Orange,candle,A Orange candle.
204,Orange,minivan,A Orange minivan.
205,Orange,teapot,A Orange colored teapot.
206,Orange,parrot,A photo of a Orange parrot.
207,Orange,bear,A bear with a Orange color.
208,Orange,fan,An image of a Orange fan.
209,Orange,wardrobe,A photo of a Orange wardrobe.
210,Orange,papaya,A realistic papaya in Orange.
211,Brown,teapot,A single Brown teapot.
212,Brown,jeans,A Brown jeans.
213,Brown,wardrobe,A photo of a Brown wardrobe.
214,Brown,sponge,A realistic sponge in Brown.
215,Brown,bicycle,A Brown colored bicycle.
216,Brown,clock,A single Brown clock.
217,Brown,apple,A apple with a Brown color.
218,Brown,elephant,A realistic elephant in Brown.
219,Brown,parrot,A parrot that is entirely Brown.
220,Brown,bus,An image of a Brown bus.
221,Brown,taxi,A photo of a Brown taxi.
222,Brown,pants,A realistic pants in Brown.
223,Brown,iron,The iron is Brown.
224,Brown,chair,A single Brown chair.
225,Brown,sweatshirt,A Brown sweatshirt.
226,Brown,socks,"A socks, and it's Brown."
227,Brown,cow,A cow that is entirely Brown.
228,Brown,fan,A fan that is entirely Brown.
229,Brown,guava,"A guava, and it's Brown."
230,Brown,vehicle,A Brown colored vehicle.
231,Brown,desk,An image of a Brown desk.
232,Brown,couch,A couch that is entirely Brown.
233,Brown,minivan,A minivan that is entirely Brown.
234,Brown,boxing glove,A Brown boxing glove.
235,Brown,ruler,A ruler with a Brown color.
236,Brown,orange,A orange that is entirely Brown.
237,Brown,duck,A single Brown duck.
238,Brown,baseball bat,A Brown colored baseball bat.
239,Brown,suitcase,An image of a Brown suitcase.
240,Brown,football helmet,The football helmet is Brown.
241,Brown,sports car,An image of a Brown sports car.
242,Brown,microwave,A Brown colored microwave.
243,Brown,mug,A mug with a Brown color.
244,Brown,tie,A tie in a Brown color.
245,Brown,umbrella,A single Brown umbrella.
246,Orange yellow,iron,A Orange yellow colored iron.
247,Orange yellow,parrot,A parrot with a Orange yellow color.
248,Orange yellow,minivan,The minivan is Orange yellow.
249,Orange yellow,vehicle,A realistic vehicle in Orange yellow.
250,Orange yellow,clock,An image of a Orange yellow clock.
251,Orange yellow,skateboard,A skateboard in a Orange yellow color.
252,Orange yellow,cow,An image of a Orange yellow cow.
253,Orange yellow,socks,A socks with a Orange yellow color.
254,Orange yellow,boxing glove,A single Orange yellow boxing glove.
255,Orange yellow,bus,A Orange yellow colored bus.
256,Orange yellow,couch,A single Orange yellow couch.
257,Orange yellow,wardrobe,A realistic wardrobe in Orange yellow.
258,Orange yellow,sports car,An image of a Orange yellow sports car.
259,Orange yellow,remote,A remote in a Orange yellow color.
260,Orange yellow,sponge,A photo of a Orange yellow sponge.
261,Orange yellow,oven,A oven that is entirely Orange yellow.
262,Orange yellow,pants,A single Orange yellow pants.
263,Orange yellow,orange,A orange with a Orange yellow color.
264,Orange yellow,tie,A single Orange yellow tie.
265,Orange yellow,microwave,A microwave with a Orange yellow color.
266,Orange yellow,jeans,A realistic jeans in Orange yellow.
267,Orange yellow,chair,A photo of a Orange yellow chair.
268,Orange yellow,ruler,A ruler rendered in Orange yellow color.
269,Orange yellow,duck,A duck rendered in Orange yellow color.
270,Orange yellow,suitcase,An image of a Orange yellow suitcase.
271,Orange yellow,bicycle,A single Orange yellow bicycle.
272,Orange yellow,desk,A desk in a Orange yellow color.
273,Orange yellow,baseball bat,A Orange yellow baseball bat.
274,Orange yellow,guava,An image of a Orange yellow guava.
275,Orange yellow,football helmet,An image of a Orange yellow football helmet.
276,Orange yellow,fan,A fan that is entirely Orange yellow.
277,Orange yellow,taxi,A single Orange yellow taxi.
278,Orange yellow,bear,A bear rendered in Orange yellow color.
279,Orange yellow,banana,A banana rendered in Orange yellow color.
280,Orange yellow,elephant,A elephant with a Orange yellow color.
281,Yellowish brown,remote,A realistic remote in Yellowish brown.
282,Yellowish brown,desk,A Yellowish brown desk.
283,Yellowish brown,teapot,The teapot is Yellowish brown.
284,Yellowish brown,iron,A single Yellowish brown iron.
285,Yellowish brown,suitcase,A suitcase that is entirely Yellowish brown.
286,Yellowish brown,crocodile,A photo of a Yellowish brown crocodile.
287,Yellowish brown,candle,A realistic candle in Yellowish brown.
288,Yellowish brown,bear,A bear in a Yellowish brown color.
289,Yellowish brown,banana,"A banana, and it's Yellowish brown."
290,Yellowish brown,microwave,A Yellowish brown microwave.
291,Yellowish brown,boxing glove,A boxing glove in a Yellowish brown color.
292,Yellowish brown,minivan,A minivan that is entirely Yellowish brown.
293,Yellowish brown,socks,The socks is Yellowish brown.
294,Yellowish brown,sports ball,"A sports ball, and it's Yellowish brown."
295,Yellowish brown,oven,A photo of a Yellowish brown oven.
296,Yellowish brown,clock,"A clock, and it's Yellowish brown."
297,Yellowish brown,guava,A guava with a Yellowish brown color.
298,Yellowish brown,couch,A couch in a Yellowish brown color.
299,Yellowish brown,apple,A apple in a Yellowish brown color.
300,Yellowish brown,bicycle,A bicycle rendered in Yellowish brown color.
301,Yellowish brown,vehicle,A Yellowish brown colored vehicle.
302,Yellowish brown,football helmet,"A football helmet, and it's Yellowish brown."
303,Yellowish brown,jeans,A jeans rendered in Yellowish brown color.
304,Yellowish brown,mug,A realistic mug in Yellowish brown.
305,Yellowish brown,bus,A bus in a Yellowish brown color.
306,Yellowish brown,umbrella,A single Yellowish brown umbrella.
307,Yellowish brown,snowboard,A snowboard in a Yellowish brown color.
308,Yellowish brown,sweatshirt,"A sweatshirt, and it's Yellowish brown."
309,Yellowish brown,ruler,A photo of a Yellowish brown ruler.
310,Yellowish brown,tie,A realistic tie in Yellowish brown.
311,Yellowish brown,taxi,"A taxi, and it's Yellowish brown."
312,Yellowish brown,baseball bat,"A baseball bat, and it's Yellowish brown."
313,Yellowish brown,orange,An image of a Yellowish brown orange.
314,Yellowish brown,parrot,A parrot that is entirely Yellowish brown.
315,Yellowish brown,pants,A pants with a Yellowish brown color.
316,Yellow,baseball bat,A realistic baseball bat in Yellow.
317,Yellow,duck,A Yellow duck.
318,Yellow,mug,A mug rendered in Yellow color.
319,Yellow,boxing glove,A single Yellow boxing glove.
320,Yellow,sports ball,"A sports ball, and it's Yellow."
321,Yellow,fan,A Yellow fan.
322,Yellow,teapot,A Yellow colored teapot.
323,Yellow,apple,An image of a Yellow apple.
324,Yellow,microwave,A single Yellow microwave.
325,Yellow,snowboard,A single Yellow snowboard.
326,Yellow,ruler,A ruler in a Yellow color.
327,Yellow,minivan,A realistic minivan in Yellow.
328,Yellow,remote,A realistic remote in Yellow.
329,Yellow,banana,A banana in a Yellow color.
330,Yellow,chair,A chair rendered in Yellow color.
331,Yellow,pants,A pants that is entirely Yellow.
332,Yellow,clock,"A clock, and it's Yellow."
333,Yellow,tie,A tie that is entirely Yellow.
334,Yellow,sports car,An image of a Yellow sports car.
335,Yellow,candle,A single Yellow candle.
336,Yellow,wardrobe,"A wardrobe, and it's Yellow."
337,Yellow,couch,A Yellow couch.
338,Yellow,bus,A single Yellow bus.
339,Yellow,suitcase,A Yellow colored suitcase.
340,Yellow,guava,A guava with a Yellow color.
341,Yellow,bear,A bear with a Yellow color.
342,Yellow,jeans,A single Yellow jeans.
343,Yellow,umbrella,A realistic umbrella in Yellow.
344,Yellow,parrot,A photo of a Yellow parrot.
345,Yellow,vehicle,"A vehicle, and it's Yellow."
346,Yellow,mango,A photo of a Yellow mango.
347,Yellow,oven,A oven rendered in Yellow color.
348,Yellow,sweatshirt,A sweatshirt in a Yellow color.
349,Yellow,socks,A Yellow socks.
350,Yellow,elephant,A single Yellow elephant.
351,Olive brown,socks,A socks that is entirely Olive brown.
352,Olive brown,sweatshirt,A sweatshirt that is entirely Olive brown.
353,Olive brown,ruler,A Olive brown ruler.
354,Olive brown,vehicle,A vehicle rendered in Olive brown color.
355,Olive brown,banana,A photo of a Olive brown banana.
356,Olive brown,wardrobe,A wardrobe that is entirely Olive brown.
357,Olive brown,chair,A photo of a Olive brown chair.
358,Olive brown,desk,"A desk, and it's Olive brown."
359,Olive brown,cow,A cow with a Olive brown color.
360,Olive brown,orange,The orange is Olive brown.
361,Olive brown,skateboard,A skateboard rendered in Olive brown color.
362,Olive brown,mango,A mango that is entirely Olive brown.
363,Olive brown,remote,"A remote, and it's Olive brown."
364,Olive brown,suitcase,A realistic suitcase in Olive brown.
365,Olive brown,pants,An image of a Olive brown pants.
366,Olive brown,bear,A Olive brown colored bear.
367,Olive brown,candle,A photo of a Olive brown candle.
368,Olive brown,parrot,A parrot rendered in Olive brown color.
369,Olive brown,tie,A tie rendered in Olive brown color.
370,Olive brown,football helmet,A realistic football helmet in Olive brown.
371,Olive brown,teapot,A realistic teapot in Olive brown.
372,Olive brown,crocodile,The crocodile is Olive brown.
373,Olive brown,papaya,A photo of a Olive brown papaya.
374,Olive brown,bus,An image of a Olive brown bus.
375,Olive brown,sports ball,The sports ball is Olive brown.
376,Olive brown,bicycle,A bicycle rendered in Olive brown color.
377,Olive brown,baseball bat,A Olive brown baseball bat.
378,Olive brown,iron,An image of a Olive brown iron.
379,Olive brown,fan,A fan rendered in Olive brown color.
380,Olive brown,clock,A clock with a Olive brown color.
381,Olive brown,sports car,A single Olive brown sports car.
382,Olive brown,boxing glove,A single Olive brown boxing glove.
383,Olive brown,mug,A realistic mug in Olive brown.
384,Olive brown,duck,A duck that is entirely Olive brown.
385,Olive brown,umbrella,The umbrella is Olive brown.
386,Greenish yellow,socks,"A socks, and it's Greenish yellow."
387,Greenish yellow,sponge,A single Greenish yellow sponge.
388,Greenish yellow,boxing glove,A realistic boxing glove in Greenish yellow.
389,Greenish yellow,sports ball,A sports ball rendered in Greenish yellow color.
390,Greenish yellow,couch,An image of a Greenish yellow couch.
391,Greenish yellow,oven,A Greenish yellow colored oven.
392,Greenish yellow,pants,A pants that is entirely Greenish yellow.
393,Greenish yellow,clock,The clock is Greenish yellow.
394,Greenish yellow,sweatshirt,An image of a Greenish yellow sweatshirt.
395,Greenish yellow,bus,"A bus, and it's Greenish yellow."
396,Greenish yellow,sports car,A sports car that is entirely Greenish yellow.
397,Greenish yellow,parrot,"A parrot, and it's Greenish yellow."
398,Greenish yellow,wardrobe,A wardrobe rendered in Greenish yellow color.
399,Greenish yellow,taxi,A taxi rendered in Greenish yellow color.
400,Greenish yellow,apple,A apple with a Greenish yellow color.
401,Greenish yellow,skateboard,A single Greenish yellow skateboard.
402,Greenish yellow,remote,A Greenish yellow colored remote.
403,Greenish yellow,bear,A Greenish yellow bear.
404,Greenish yellow,bicycle,"A bicycle, and it's Greenish yellow."
405,Greenish yellow,suitcase,A Greenish yellow colored suitcase.
406,Greenish yellow,ruler,A photo of a Greenish yellow ruler.
407,Greenish yellow,orange,"A orange, and it's Greenish yellow."
408,Greenish yellow,papaya,A papaya that is entirely Greenish yellow.
409,Greenish yellow,cow,A Greenish yellow colored cow.
410,Greenish yellow,desk,An image of a Greenish yellow desk.
411,Greenish yellow,umbrella,A Greenish yellow colored umbrella.
412,Greenish yellow,mug,An image of a Greenish yellow mug.
413,Greenish yellow,crocodile,A crocodile rendered in Greenish yellow color.
414,Greenish yellow,banana,A realistic banana in Greenish yellow.
415,Greenish yellow,candle,An image of a Greenish yellow candle.
416,Greenish yellow,chair,A chair in a Greenish yellow color.
417,Greenish yellow,elephant,A Greenish yellow elephant.
418,Greenish yellow,tie,A tie in a Greenish yellow color.
419,Greenish yellow,guava,A guava that is entirely Greenish yellow.
420,Greenish yellow,football helmet,The football helmet is Greenish yellow.
421,Olive,sports ball,The sports ball is Olive.
422,Olive,papaya,A realistic papaya in Olive.
423,Olive,mug,A mug in a Olive color.
424,Olive,jeans,A realistic jeans in Olive.
425,Olive,fan,A photo of a Olive fan.
426,Olive,candle,A candle that is entirely Olive.
427,Olive,iron,A iron that is entirely Olive.
428,Olive,teapot,A realistic teapot in Olive.
429,Olive,vehicle,"A vehicle, and it's Olive."
430,Olive,banana,An image of a Olive banana.
431,Olive,microwave,A realistic microwave in Olive.
432,Olive,umbrella,A umbrella rendered in Olive color.
433,Olive,guava,A guava in a Olive color.
434,Olive,snowboard,A snowboard rendered in Olive color.
435,Olive,oven,An image of a Olive oven.
436,Olive,minivan,The minivan is Olive.
437,Olive,ruler,A ruler that is entirely Olive.
438,Olive,cow,An image of a Olive cow.
439,Olive,crocodile,A crocodile that is entirely Olive.
440,Olive,baseball bat,A Olive colored baseball bat.
441,Olive,skateboard,A photo of a Olive skateboard.
442,Olive,pants,An image of a Olive pants.
443,Olive,suitcase,A Olive suitcase.
444,Olive,sponge,A realistic sponge in Olive.
445,Olive,bear,A bear in a Olive color.
446,Olive,mango,A photo of a Olive mango.
447,Olive,parrot,An image of a Olive parrot.
448,Olive,chair,A Olive chair.
449,Olive,elephant,A Olive elephant.
450,Olive,desk,A desk in a Olive color.
451,Olive,clock,An image of a Olive clock.
452,Olive,socks,A realistic socks in Olive.
453,Olive,remote,A photo of a Olive remote.
454,Olive,orange,A orange with a Olive color.
455,Olive,sweatshirt,"A sweatshirt, and it's Olive."
456,Yellow green,couch,"A couch, and it's Yellow green."
457,Yellow green,bicycle,An image of a Yellow green bicycle.
458,Yellow green,sweatshirt,A sweatshirt rendered in Yellow green color.
459,Yellow green,microwave,A single Yellow green microwave.
460,Yellow green,candle,An image of a Yellow green candle.
461,Yellow green,snowboard,A snowboard rendered in Yellow green color.
462,Yellow green,teapot,A teapot rendered in Yellow green color.
463,Yellow green,minivan,A Yellow green minivan.
464,Yellow green,cow,A cow rendered in Yellow green color.
465,Yellow green,orange,A realistic orange in Yellow green.
466,Yellow green,skateboard,The skateboard is Yellow green.
467,Yellow green,boxing glove,A boxing glove that is entirely Yellow green.
468,Yellow green,clock,A clock with a Yellow green color.
469,Yellow green,apple,A apple that is entirely Yellow green.
470,Yellow green,guava,An image of a Yellow green guava.
471,Yellow green,sports ball,A sports ball with a Yellow green color.
472,Yellow green,bus,The bus is Yellow green.
473,Yellow green,ruler,A photo of a Yellow green ruler.
474,Yellow green,remote,A remote that is entirely Yellow green.
475,Yellow green,pants,A photo of a Yellow green pants.
476,Yellow green,vehicle,A vehicle in a Yellow green color.
477,Yellow green,crocodile,The crocodile is Yellow green.
478,Yellow green,mango,A photo of a Yellow green mango.
479,Yellow green,football helmet,A Yellow green football helmet.
480,Yellow green,elephant,A single Yellow green elephant.
481,Yellow green,desk,"A desk, and it's Yellow green."
482,Yellow green,duck,A realistic duck in Yellow green.
483,Yellow green,iron,A iron rendered in Yellow green color.
484,Yellow green,baseball bat,"A baseball bat, and it's Yellow green."
485,Yellow green,suitcase,An image of a Yellow green suitcase.
486,Yellow green,oven,A Yellow green oven.
487,Yellow green,tie,A tie that is entirely Yellow green.
488,Yellow green,chair,An image of a Yellow green chair.
489,Yellow green,fan,A realistic fan in Yellow green.
490,Yellow green,parrot,An image of a Yellow green parrot.
491,Olive green,sponge,A single Olive green sponge.
492,Olive green,desk,A realistic desk in Olive green.
493,Olive green,apple,A Olive green colored apple.
494,Olive green,umbrella,A umbrella rendered in Olive green color.
495,Olive green,skateboard,An image of a Olive green skateboard.
496,Olive green,boxing glove,A Olive green boxing glove.
497,Olive green,socks,The socks is Olive green.
498,Olive green,tie,A tie that is entirely Olive green.
499,Olive green,wardrobe,A wardrobe with a Olive green color.
500,Olive green,clock,A clock rendered in Olive green color.
501,Olive green,parrot,A parrot rendered in Olive green color.
502,Olive green,ruler,A Olive green ruler.
503,Olive green,elephant,A elephant with a Olive green color.
504,Olive green,baseball bat,An image of a Olive green baseball bat.
505,Olive green,duck,A duck rendered in Olive green color.
506,Olive green,bus,A Olive green bus.
507,Olive green,vehicle,A photo of a Olive green vehicle.
508,Olive green,banana,"A banana, and it's Olive green."
509,Olive green,guava,A guava in a Olive green color.
510,Olive green,mug,A mug with a Olive green color.
511,Olive green,oven,"A oven, and it's Olive green."
512,Olive green,taxi,An image of a Olive green taxi.
513,Olive green,microwave,A photo of a Olive green microwave.
514,Olive green,papaya,A papaya rendered in Olive green color.
515,Olive green,jeans,A single Olive green jeans.
516,Olive green,orange,A orange with a Olive green color.
517,Olive green,minivan,"A minivan, and it's Olive green."
518,Olive green,sports car,The sports car is Olive green.
519,Olive green,pants,"A pants, and it's Olive green."
520,Olive green,chair,A Olive green colored chair.
521,Olive green,sports ball,A single Olive green sports ball.
522,Olive green,sweatshirt,A Olive green colored sweatshirt.
523,Olive green,fan,A Olive green colored fan.
524,Olive green,mango,A mango with a Olive green color.
525,Olive green,bicycle,The bicycle is Olive green.
526,Yellowish green,bear,"A bear, and it's Yellowish green."
527,Yellowish green,minivan,A realistic minivan in Yellowish green.
528,Yellowish green,papaya,"A papaya, and it's Yellowish green."
529,Yellowish green,mug,The mug is Yellowish green.
530,Yellowish green,microwave,A Yellowish green microwave.
531,Yellowish green,guava,A guava with a Yellowish green color.
532,Yellowish green,jeans,A jeans rendered in Yellowish green color.
533,Yellowish green,bus,A bus that is entirely Yellowish green.
534,Yellowish green,desk,A realistic desk in Yellowish green.
535,Yellowish green,banana,A photo of a Yellowish green banana.
536,Yellowish green,remote,An image of a Yellowish green remote.
537,Yellowish green,skateboard,A skateboard in a Yellowish green color.
538,Yellowish green,football helmet,A Yellowish green football helmet.
539,Yellowish green,clock,A clock in a Yellowish green color.
540,Yellowish green,boxing glove,A single Yellowish green boxing glove.
541,Yellowish green,wardrobe,The wardrobe is Yellowish green.
542,Yellowish green,parrot,A parrot that is entirely Yellowish green.
543,Yellowish green,iron,The iron is Yellowish green.
544,Yellowish green,bicycle,"A bicycle, and it's Yellowish green."
545,Yellowish green,sponge,The sponge is Yellowish green.
546,Yellowish green,baseball bat,A baseball bat with a Yellowish green color.
547,Yellowish green,umbrella,A photo of a Yellowish green umbrella.
548,Yellowish green,suitcase,"A suitcase, and it's Yellowish green."
549,Yellowish green,vehicle,A realistic vehicle in Yellowish green.
