id,color,object,ref_object,prompt
131,Green,table,candle,A Green table holds a candle of the same color.
132,Green,car,bus,A Green car is parked beside a bus of identical color.
133,Green,guava,strawberry,A Green guava rests next to a strawberry of identical color.
134,Green,couch,bookcase,A Green couch faces a bookcase of identical color.
135,Green,sweatshirt,hat,A Green sweatshirt is folded beside a hat of the same color.
136,Green,jeep,bus,A Green jeep is parked beside a bus of the same color.
137,Bluish green,dog,bear,A Bluish green dog sits beside a bear of matching color.
138,Bluish green,football helmet,snowboard,A Bluish green football helmet lies near a snowboard of the same color.
139,Bluish green,snowboard,skis,A Bluish green snowboard leans against skis of identical color.
140,Bluish green,umbrella,suitcase,A Bluish green umbrella leans against a suitcase of matching color.
141,Bluish green,toaster,refrigerator,A Bluish green toaster sits beside a refrigerator of the same color.
142,Bluish green,tie,hat,A Bluish green tie lies beside a hat of the same color.
143,Bluish green,tissue box,book,A Bluish green tissue box sits next to a book of matching color.
144,Bluish green,broccoli,carrot,A Bluish green broccoli rests next to a carrot of the same color.
145,Greenish blue,teapot,candle,A Greenish blue teapot sits beside a candle of identical color.
146,Greenish blue,cow,sheep,A Greenish blue cow grazes near a sheep of the same color.
147,Greenish blue,frisbee,surfboard,A Greenish blue frisbee rests beside a surfboard of the same color.
148,Greenish blue,baseball bat,kite,A Greenish blue baseball bat lies near a kite of the same color.
149,Greenish blue,mango,papaya,A Greenish blue mango is placed next to a papaya of the same color.
150,Greenish blue,handbag,umbrella,A Greenish blue handbag hangs near an umbrella of the same color.
151,Greenish blue,umbrella,backpack,A Greenish blue umbrella leans against a backpack of matching color.
152,Greenish blue,tie,handbag,A Greenish blue tie lies beside a handbag of the same color.
153,Blue,tie,backpack,A Blue tie rests on a backpack of matching color.
154,Blue,baseball glove,baseball bat,A Blue baseball glove lies beside a baseball bat of identical color.
155,Blue,bicycle,motorcycle,A Blue bicycle is parked beside a motorcycle of identical color.
156,Blue,microwave,toaster,A Blue microwave sits beside a toaster of the same color.
157,Blue,sports ball,baseball glove,A Blue sports ball sits next to a baseball glove of matching color.
158,Blue,couch,bookcase,A Blue couch faces a bookcase of identical color.
159,Blue,carrot,orange,A Blue carrot lies close to an orange of identical color.
160,Blue,T-shirt,socks,A Blue T-shirt is folded beside socks of identical color.
161,Purplish blue,microwave,toaster,A Purplish blue microwave sits beside a toaster of the same color.
162,Purplish blue,surfboard,skateboard,A Purplish blue surfboard leans against a skateboard of identical color.
163,Purplish blue,orange,carrot,A Purplish blue orange lies near a carrot of the same color.
164,Purplish blue,guava,strawberry,A Purplish blue guava rests next to a strawberry of identical color.
165,Purplish blue,umbrella,suitcase,A Purplish blue umbrella leans against a suitcase of matching color.
166,Purplish blue,apple,orange,A Purplish blue apple lies beside an orange of identical color.
167,Purplish blue,jeep,bus,A Purplish blue jeep is parked beside a bus of the same color.
168,Purplish blue,microwave,oven,A Purplish blue microwave sits next to an oven of matching color.
169,Violet,jeep,bus,A Violet jeep is parked beside a bus of the same color.
170,Violet,lipstick,handbag,A Violet lipstick rests inside a handbag of identical color.
171,Violet,car,boat,A Violet car is parked near a boat of identical color.
172,Violet,dog,horse,A Violet dog stands beside a horse with the same color coat.
173,Violet,desk,bookcase,A Violet desk stands next to a bookcase of matching color.
174,Violet,tie,suit,A Violet tie is draped over a suit of matching color.
175,Violet,snowboard,skis,A Violet snowboard leans against skis of identical color.
176,Violet,iron,hair dryer,A Violet iron lies next to a hair dryer of the same color.
177,Purple,parrot,cat,A Purple parrot perches beside a cat of the same color.
178,Purple,hat,backpack,A Purple hat rests on a backpack of the same color.
179,Purple,suitcase,backpack,A Purple suitcase is placed next to a backpack of identical color.
180,Purple,sports ball,baseball glove,A Purple sports ball sits next to a baseball glove of matching color.
181,Purple,trash can,sink,A Purple trash can stands beside a sink of the same color.
182,Purple,umbrella,backpack,A Purple umbrella leans against a backpack of matching color.
183,Purple,car,truck,A Purple car is parked next to a truck of matching color.
184,Purple,baseball bat,kite,A Purple baseball bat lies near a kite of the same color.
185,Reddish purple,clock,vase,A Reddish purple clock hangs near a vase of the same color.
186,Reddish purple,car,boat,A Reddish purple car is parked near a boat of identical color.
187,Reddish purple,fan,sponge,A Reddish purple fan sits beside a sponge of matching color.
188,Reddish purple,skateboard,skis,A Reddish purple skateboard lies near skis of matching color.
189,Reddish purple,snowboard,skis,A Reddish purple snowboard leans against skis of identical color.
190,Reddish purple,jacket,hat,A Reddish purple jacket hangs beside a hat of matching color.
191,Reddish purple,orange,carrot,A Reddish purple orange lies near a carrot of the same color.
192,Reddish purple,owl,dog,A Reddish purple owl perches near a dog of matching color.
193,Purplish pink,baseball bat,kite,A Purplish pink baseball bat lies near a kite of the same color.
194,Purplish pink,football helmet,boxing glove,A Purplish pink football helmet lies next to a boxing glove of matching color.
195,Purplish pink,sink,towel,A Purplish pink sink has a towel of the same color nearby.
196,Purplish pink,suitcase,backpack,A Purplish pink suitcase is placed next to a backpack of identical color.
197,Purplish pink,refrigerator,oven,A Purplish pink refrigerator stands next to an oven of identical color.
198,Purplish pink,chair,desk,A Purplish pink chair is positioned next to a desk of the same color.
199,Purplish pink,knife,cutting board,A Purplish pink knife rests on a cutting board of matching color.
200,Purplish pink,surfboard,skateboard,A Purplish pink surfboard leans against a skateboard of identical color.
201,Purplish red,dog,bear,A Purplish red dog sits beside a bear of matching color.
202,Purplish red,lipstick,handbag,A Purplish red lipstick rests inside a handbag of identical color.
203,Purplish red,guava,strawberry,A Purplish red guava rests next to a strawberry of identical color.
204,Purplish red,sports car,airplane,A Purplish red sports car is parked beside an airplane of the same color.
205,Purplish red,umbrella,suitcase,A Purplish red umbrella leans against a suitcase of matching color.
206,Purplish red,tissue box,book,A Purplish red tissue box sits next to a book of matching color.
207,Purplish red,sports ball,baseball glove,A Purplish red sports ball sits next to a baseball glove of matching color.
208,Purplish red,hammer,wrench,A Purplish red hammer lies beside a wrench of the same color.
209,White,backpack,suitcase,A White backpack is placed next to a suitcase of the same color.
210,White,wallet,tie,A White wallet rests beside a tie of the same color.
211,White,football helmet,snowboard,A White football helmet lies near a snowboard of the same color.
212,White,crocodile,bear,A White crocodile rests near a bear of identical color.
213,White,horse,sheep,A White horse stands with a sheep of the same color.
214,White,snowboard,skis,A White snowboard leans against skis of identical color.
215,White,guava,strawberry,A White guava rests next to a strawberry of identical color.
216,White,suitcase,umbrella,A White suitcase stands next to an umbrella of matching color.
217,Gray,car,boat,A Gray car is parked near a boat of identical color.
218,Gray,handbag,coat,A Gray handbag rests beside a coat of the same color.
219,Gray,chair,bookcase,A Gray chair is positioned near a bookcase of the same color.
220,Gray,frisbee,kite,A Gray frisbee lies near a kite of identical color.
221,Gray,sports ball,baseball glove,A Gray sports ball sits next to a baseball glove of matching color.
222,Gray,dog,cow,A Gray dog sits near a cow of identical color.
223,Gray,refrigerator,oven,A Gray refrigerator stands next to an oven of identical color.
224,Gray,taxi,motorcycle,A Gray taxi is parked near a motorcycle of matching color.
225,Black,pants,towel,A Black pants are folded beside a towel of identical color.
226,Black,bear,sheep,A Black bear stands near a sheep of the same color.
227,Black,frisbee,kite,A Black frisbee lies near a kite of identical color.
228,Black,table,candle,A Black table holds a candle of the same color.
229,Black,handbag,backpack,A Black handbag rests on a backpack of the same color.
230,Black,couch,bookcase,A Black couch faces a bookcase of identical color.
231,Black,surfboard,skateboard,A Black surfboard leans against a skateboard of identical color.
232,Black,trash can,sink,A Black trash can stands beside a sink of the same color.
