object,ref_object,prompt
handbag,backpack,"A {color} handbag rests on a backpack of the same color."
car,boat,"A {color} car is parked near a boat of identical color."
clock,vase,"A {color} clock hangs near a vase of the same color."
crocodile,turtle,"A {color} crocodile rests near a turtle of matching color."
toaster,refrigerator,"A {color} toaster sits beside a refrigerator of the same color."
dog,sheep,"A {color} dog stands beside a sheep of identical color."
sports ball,golf ball,"A {color} sports ball lies near a golf ball of the same color."
umbrella,suitcase,"A {color} umbrella leans against a suitcase of matching color."
chair,bookcase,"A {color} chair is positioned near a bookcase of the same color."
baseball glove,baseball bat,"A {color} baseball glove lies beside a baseball bat of identical color."
mango,papaya,"A {color} mango is placed next to a papaya of the same color."
tie,backpack,"A {color} tie rests on a backpack of matching color."
cat,horse,"A {color} cat sits near a horse of the same color."
surfboard,skateboard,"A {color} surfboard leans against a skateboard of identical color."
chair,wardrobe,"A {color} chair stands beside a wardrobe of the same color."
microwave,oven,"A {color} microwave sits next to an oven of matching color."
baseball bat,kite,"A {color} baseball bat lies near a kite of the same color."
bicycle,boat,"A {color} bicycle is parked near a boat of identical color."
owl,elephant,"A {color} owl perches near an elephant of the same color."
dog,teddybear,"A {color} dog sits beside a teddybear of matching color."
football helmet,snowboard,"A {color} football helmet lies near a snowboard of the same color."
apple,guava,"A {color} apple is placed next to a guava of identical color."
chair,vase,"A {color} chair stands beside a vase of the same color."
suitcase,handbag,"A {color} suitcase rests next to a handbag of matching color."
orange,carrot,"A {color} orange lies near a carrot of the same color."
refrigerator,toaster,"A {color} refrigerator stands beside a toaster of identical color."
horse,sheep,"A {color} horse stands with a sheep of the same color."
sports ball,boxing glove,"A {color} sports ball lies near a boxing glove of matching color."
handbag,coat,"A {color} handbag rests beside a coat of the same color."
baseball bat,sports ball,"A {color} baseball bat lies next to a sports ball of identical color."
car,airplane,"A {color} car is parked near an airplane of the same color."
clock,mug,"A {color} clock hangs above a mug of matching color."
tie,hat,"A {color} tie lies beside a hat of the same color."
dog,cow,"A {color} dog sits near a cow of identical color."
baseball glove,frisbee,"A {color} baseball glove lies beside a frisbee of the same color."
motorcycle,bus,"A {color} motorcycle is parked near a bus of matching color."
apple,lemon,"A {color} apple rests beside a lemon of the same color."
T-shirt,socks,"A {color} T-shirt is folded beside socks of identical color."
remote,fan,"A {color} remote lies next to a fan of the same color."
umbrella,backpack,"A {color} umbrella leans against a backpack of matching color."
banana,strawberry,"A {color} banana is placed next to a strawberry of the same color."
knife,sponge,"A {color} knife rests near a sponge of identical color."
dog,elephant,"A {color} dog sits beside an elephant of the same color."
tie,suit,"A {color} tie is draped over a suit of matching color."
surfboard,kite,"A {color} surfboard lies near a kite of the same color."
handbag,suitcase,"A {color} handbag is placed on a suitcase of identical color."
couch,pillow,"A {color} couch has a pillow of the same color."
football helmet,golf ball,"A {color} football helmet lies beside a golf ball of matching color."
broccoli,carrot,"A {color} broccoli rests next to a carrot of the same color."
duck,horse,"A {color} duck swims near a horse of identical color."
hammer,wrench,"A {color} hammer lies beside a wrench of the same color."
towel,socks,"A {color} towel is folded next to socks of matching color."
wallet,tie,"A {color} wallet rests beside a tie of the same color."
curtain,pillow,"A {color} curtain hangs near a pillow of identical color."
thermos,mug,"A {color} thermos stands beside a mug of the same color."
tissue box,book,"A {color} tissue box sits next to a book of matching color."
trash can,sink,"A {color} trash can stands beside a sink of the same color."
lipstick,handbag,"A {color} lipstick rests inside a handbag of identical color."
iron,hair dryer,"A {color} iron lies next to a hair dryer of the same color."
ruler,saw,"A {color} ruler rests beside a saw of matching color."
balloon,teddybear,"A {color} balloon floats near a teddybear of the same color."
snowboard,skis,"A {color} snowboard leans against skis of identical color."
potted plant,vase,"A {color} potted plant sits beside a vase of the same color."
desk,bookcase,"A {color} desk stands next to a bookcase of matching color."
wardrobe,curtain,"A {color} wardrobe stands near a curtain of the same color."
teapot,candle,"A {color} teapot sits beside a candle of identical color."
sink,towel,"A {color} sink has a towel of the same color nearby."
fan,sponge,"A {color} fan sits beside a sponge of matching color."
cow,sheep,"A {color} cow grazes near a sheep of the same color."
crocodile,bear,"A {color} crocodile rests near a bear of identical color."
turtle,duck,"A {color} turtle sits beside a duck of the same color."
owl,dog,"A {color} owl perches near a dog of matching color."
parrot,cat,"A {color} parrot perches beside a cat of the same color."
boat,truck,"A {color} boat is docked near a truck of identical color."
jeep,bus,"A {color} jeep is parked beside a bus of the same color."
taxi,motorcycle,"A {color} taxi is parked near a motorcycle of matching color."
sports car,airplane,"A {color} sports car is parked beside an airplane of the same color."
guava,strawberry,"A {color} guava rests next to a strawberry of identical color."
papaya,lemon,"A {color} papaya lies beside a lemon of the same color."
coat,umbrella,"A {color} coat hangs beside an umbrella of matching color."
suit,wallet,"A {color} suit hangs near a wallet of the same color."
pants,towel,"A {color} pants are folded beside a towel of identical color."
jeans,T-shirt,"A {color} jeans are folded next to a T-shirt of the same color."
